deplacement (mm);charge (N)

       0;  0.3056
 0.02000;   5.654
 0.04000;  10.54 
 0.06000;  13.75 
 0.08000;  16.20 
  0.1000;  18.64 
  0.1200;  20.94 
  0.1400;  23.23 
  0.1600;  24.60 
  0.1800;  26.13 
  0.2000;  27.66 
  0.2200;  28.73 
  0.2400;  29.34 
  0.2600;  30.26 
  0.2800;  30.41 
  0.3000;  30.87 
  0.3200;  30.87 
  0.3400;  30.87 
  0.3600;  31.33 
  0.3800;  31.48 
  0.4000;  31.63 
  0.4200;  33.16 
  0.4400;  33.47 
  0.4600;  33.31 
  0.4800;  34.38 
  0.5000;  34.38 
  0.5200;  35.30 
  0.5400;  35.61 
  0.5600;  36.67 
  0.5800;  38.20 
  0.6000;  40.80 
  0.6200;  42.94 
  0.6400;  45.08 
  0.6600;  46.76 
  0.6800;  48.44 
  0.7000;  50.73 
  0.7200;  52.72 
  0.7400;  54.71 
  0.7600;  56.85 
  0.7800;  58.37 
  0.8000;  61.12 
  0.8200;  62.65 
  0.8400;  64.79 
  0.8600;  66.78 
  0.8800;  68.31 
  0.9000;  69.99 
  0.9200;  72.43 
  0.9400;  74.88 
  0.9600;  77.48 
  0.9800;  80.68 
   1.000;  83.44 
   1.020;  86.64 
   1.040;  89.09 
   1.060;  91.84 
   1.080;  94.44 
   1.100;  97.34 
   1.120;  99.94 
   1.140; 102.1  
   1.160; 104.5  
   1.180; 107.0  
   1.200; 109.0  
   1.220; 111.4  
   1.240; 113.7  
   1.260; 116.3  
   1.280; 118.9  
   1.300; 121.2  
   1.320; 124.1  
   1.340; 126.7  
   1.360; 130.0  
   1.380; 132.9  
   1.400; 135.7  
   1.420; 138.9  
   1.440; 142.6  
   1.460; 145.5  
   1.480; 149.0  
   1.500; 152.2  
   1.520; 156.5  
   1.540; 160.1  
   1.560; 164.7  
   1.580; 169.2  
   1.600; 173.6  
   1.620; 177.7  
   1.640; 182.9  
   1.660; 187.2  
   1.680; 192.1  
   1.700; 196.8  
   1.720; 201.7  
   1.740; 206.6  
   1.760; 211.3  
   1.780; 217.1  
   1.800; 222.5  
   1.820; 227.4  
   1.840; 233.2  
   1.860; 238.4  
   1.880; 243.9  
   1.900; 249.5  
   1.920; 255.5  
   1.940; 261.0  
   1.960; 266.7  
   1.980; 272.9  
   2.000; 278.6  
   2.020; 284.8  
   2.040; 290.5  
   2.060; 296.8  
   2.080; 302.6  
   2.100; 309.0  
   2.120; 315.1  
   2.140; 321.8  
   2.160; 327.9  
   2.180; 334.7  
   2.200; 340.8  
   2.220; 347.2  
   2.240; 353.9  
   2.260; 360.6  
   2.280; 367.2  
   2.300; 374.2  
   2.320; 380.7  
   2.340; 387.5  
   2.360; 394.4  
   2.380; 401.0  
   2.400; 408.0  
   2.420; 415.0  
   2.440; 422.4  
   2.460; 428.6  
   2.480; 436.0  
   2.500; 442.7  
   2.520; 450.0  
   2.540; 456.6  
   2.560; 463.6  
   2.580; 470.8  
   2.600; 478.0  
   2.620; 485.2  
   2.640; 492.4  
   2.660; 499.2  
   2.680; 506.7  
   2.700; 513.8  
   2.720; 520.9  
   2.740; 528.4  
   2.760; 535.5  
   2.780; 542.6  
   2.800; 550.3  
   2.820; 557.3  
   2.840; 564.5  
   2.860; 571.8  
   2.880; 579.3  
   2.900; 586.6  
   2.920; 594.0  
   2.940; 601.5  
   2.960; 608.6  
   2.980; 615.7  
   3.000; 622.7  
   3.020; 630.2  
   3.040; 637.5  
   3.060; 645.0  
   3.080; 652.5  
   3.100; 660.5  
   3.120; 667.5  
   3.140; 675.4  
   3.160; 682.3  
   3.180; 690.4  
   3.200; 697.6  
   3.220; 705.2  
   3.240; 712.4  
   3.260; 720.7  
   3.280; 728.1  
   3.300; 735.6  
   3.320; 743.0  
   3.340; 750.3  
   3.360; 757.6  
   3.380; 765.6  
   3.400; 772.8  
   3.420; 780.6  
   3.440; 787.9  
   3.460; 795.4  
   3.480; 803.0  
   3.500; 810.5  
   3.520; 818.2  
   3.540; 825.3  
   3.560; 833.0  
   3.580; 840.0  
   3.600; 847.8  
   3.620; 855.0  
   3.640; 862.5  
   3.660; 869.5  
   3.680; 877.0  
   3.700; 884.0  
   3.720; 891.2  
   3.740; 897.9  
   3.760; 905.4  
   3.780; 912.4  
   3.800; 919.5  
   3.820; 926.2  
   3.840; 932.8  
   3.860; 939.5  
   3.880; 945.8  
   3.900; 952.0  
   3.920; 958.0  
   3.940; 964.1  
   3.960; 970.2  
   3.980; 975.9  
   4.000; 981.8  
   4.020; 987.9  
   4.040; 993.3  
   4.060; 998.9  
   4.080;1004    
   4.100;1006    

