deplacement (mm);charge (N)

       0;  0.4584
 0.02000;   2.903
 0.04000;   6.724
 0.06000;   9.016
 0.08000;  11.92 
  0.1000;  13.75 
  0.1200;  15.89 
  0.1400;  16.66 
  0.1600;  19.10 
  0.1800;  20.17 
  0.2000;  22.00 
  0.2200;  23.23 
  0.2400;  25.06 
  0.2600;  25.83 
  0.2800;  27.51 
  0.3000;  28.12 
  0.3200;  29.80 
  0.3400;  30.41 
  0.3600;  31.63 
  0.3800;  32.24 
  0.4000;  33.01 
  0.4200;  33.92 
  0.4400;  34.69 
  0.4600;  35.45 
  0.4800;  36.98 
  0.5000;  37.90 
  0.5200;  39.43 
  0.5400;  41.11 
  0.5600;  42.48 
  0.5800;  43.25 
  0.6000;  44.62 
  0.6200;  46.76 
  0.6400;  47.83 
  0.6600;  49.51 
  0.6800;  50.43 
  0.7000;  51.50 
  0.7200;  51.80 
  0.7400;  52.11 
  0.7600;  52.11 
  0.7800;  52.57 
  0.8000;  52.11 
  0.8200;  53.79 
  0.8400;  53.79 
  0.8600;  54.10 
  0.8800;  54.25 
  0.9000;  54.71 
  0.9200;  55.32 
  0.9400;  56.39 
  0.9600;  56.54 
  0.9800;  56.69 
   1.000;  56.85 
   1.020;  57.30 
   1.040;  58.68 
   1.060;  59.60 
   1.080;  61.28 
   1.100;  62.50 
   1.120;  64.18 
   1.140;  66.01 
   1.160;  68.15 
   1.180;  68.92 
   1.200;  70.45 
   1.220;  71.52 
   1.240;  73.35 
   1.260;  73.96 
   1.280;  76.10 
   1.300;  77.48 
   1.320;  78.85 
   1.340;  80.23 
   1.360;  81.75 
   1.380;  83.59 
   1.400;  85.42 
   1.420;  86.34 
   1.440;  88.48 
   1.460;  90.16 
   1.480;  91.53 
   1.500;  93.22 
   1.520;  95.05 
   1.540;  96.12 
   1.560;  97.95 
   1.580;  99.48 
   1.600; 101.0  
   1.620; 103.5  
   1.640; 105.7  
   1.660; 108.8  
   1.680; 110.9  
   1.700; 112.8  
   1.720; 114.8  
   1.740; 117.1  
   1.760; 118.9  
   1.780; 121.5  
   1.800; 123.3  
   1.820; 126.1  
   1.840; 127.8  
   1.860; 129.9  
   1.880; 131.6  
   1.900; 132.9  
   1.920; 135.1  
   1.940; 137.4  
   1.960; 139.4  
   1.980; 141.7  
   2.000; 143.3  
   2.020; 145.8  
   2.040; 147.6  
   2.060; 150.1  
   2.080; 152.2  
   2.100; 154.8  
   2.120; 157.2  
   2.140; 159.7  
   2.160; 162.7  
   2.180; 165.0  
   2.200; 167.9  
   2.220; 170.4  
   2.240; 173.1  
   2.260; 175.9  
   2.280; 178.8  
   2.300; 181.5  
   2.320; 185.2  
   2.340; 188.3  
   2.360; 191.5  
   2.380; 194.8  
   2.400; 198.2  
   2.420; 201.3  
   2.440; 205.4  
   2.460; 208.6  
   2.480; 212.1  
   2.500; 215.8  
   2.520; 219.6  
   2.540; 222.8  
   2.560; 226.6  
   2.580; 230.1  
   2.600; 234.0  
   2.620; 237.6  
   2.640; 241.4  
   2.660; 245.6  
   2.680; 249.1  
   2.700; 253.4  
   2.720; 257.0  
   2.740; 261.2  
   2.760; 265.0  
   2.780; 269.3  
   2.800; 273.4  
   2.820; 277.5  
   2.840; 281.5  
   2.860; 285.9  
   2.880; 290.0  
   2.900; 294.3  
   2.920; 298.4  
   2.940; 303.0  
   2.960; 307.0  
   2.980; 311.1  
   3.000; 315.6  
   3.020; 320.1  
   3.040; 324.3  
   3.060; 328.2  
   3.080; 332.7  
   3.100; 337.3  
   3.120; 341.7  
   3.140; 345.5  
   3.160; 350.1  
   3.180; 354.2  
   3.200; 358.8  
   3.220; 362.9  
   3.240; 367.7  
   3.260; 371.6  
   3.280; 376.7  
   3.300; 380.7  
   3.320; 385.2  
   3.340; 389.2  
   3.360; 393.9  
   3.380; 398.5  
   3.400; 403.3  
   3.420; 407.5  
   3.440; 412.0  
   3.460; 416.4  
   3.480; 420.7  
   3.500; 425.3  
   3.520; 429.7  
   3.540; 433.8  
   3.560; 438.4  
   3.580; 443.0  
   3.600; 447.4  
   3.620; 452.2  
   3.640; 456.4  
   3.660; 461.2  
   3.680; 465.5  
   3.700; 469.7  
   3.720; 474.2  
   3.740; 478.9  
   3.760; 483.2  
   3.780; 487.8  
   3.800; 491.7  
   3.820; 496.5  
   3.840; 500.5  
   3.860; 504.7  
   3.880; 509.3  
   3.900; 513.8  
   3.920; 518.2  
   3.940; 522.6  
   3.960; 526.7  
   3.980; 530.7  
   4.000; 535.5  
   4.020; 539.6  
   4.040; 543.9  
   4.060; 548.3  
   4.080; 552.6  
   4.100; 556.7  
   4.120; 561.0  
   4.140; 564.9  
   4.160; 569.7  
   4.180; 573.3  
   4.200; 577.6  
   4.220; 581.9  
   4.240; 586.5  
   4.260; 590.2  
   4.280; 594.6  
   4.300; 598.6  
   4.320; 603.0  
   4.340; 606.5  
   4.360; 610.0  
   4.380; 614.3  
   4.400; 618.9  
   4.420; 623.3  
   4.440; 627.4  
   4.460; 630.7  
   4.480; 634.3  
   4.500; 638.3  
   4.520; 642.4  
   4.540; 645.9  
   4.560; 649.9  
   4.580; 653.1  
   4.600; 657.5  
   4.620; 661.8  
   4.640; 664.9  
   4.660; 669.3  
   4.680; 672.5  
   4.700; 676.0  
   4.720; 680.3  
   4.740; 684.6  
   4.760; 689.3  
   4.780; 693.3  
   4.800; 697.0  
   4.820; 700.3  
   4.840; 704.3  
   4.860; 707.4  
   4.880; 710.1  
   4.900; 713.0  
   4.920; 717.5  
   4.940; 721.0  
   4.960; 724.3  
   4.980; 726.9  
   5.000; 730.0  
   5.020; 731.7  
   5.040; 733.3  
   5.060; 736.1  
   5.080; 739.5  
   5.100; 743.6  
   5.120; 746.2  
   5.140; 748.8  
   5.160; 752.1  
   5.180; 755.2  
   5.200; 758.6  
   5.220; 761.9  
   5.240; 765.6  
   5.260; 767.7  
   5.280; 772.0  
   5.300; 773.4  
   5.320; 776.0  
   5.340; 778.9  
   5.360; 781.6  
   5.380; 784.2  
   5.400; 787.6  
   5.420; 790.3  
   5.440; 793.2  
   5.460; 796.0  
   5.480; 799.1  
   5.500; 803.5  
   5.520; 809.3  
   5.540; 812.2  
   5.560; 815.1  
   5.580; 817.2  
   5.600; 820.3  
   5.620; 822.3  
   5.640; 824.7  
   5.660; 826.9  
   5.680; 829.5  
   5.700; 832.1  
   5.720; 834.4  
   5.740; 836.8  
   5.760; 837.9  
   5.780; 840.8  
   5.800; 842.8  
   5.820; 845.0  
   5.840; 846.6  
   5.860; 847.8  
   5.880; 848.9  
   5.900; 849.9  
   5.920; 851.6  
   5.940; 852.2  
   5.960; 852.1  
   5.980; 855.0  
   6.000; 856.4  
   6.020; 858.6  
   6.040; 860.9  
   6.060; 863.1  
   6.080; 864.9  
   6.100; 866.6  
   6.120; 868.3  
   6.140; 869.0  
   6.160; 870.7  
   6.180; 872.1  
   6.200; 874.8  
   6.220; 876.4  
   6.240; 878.2  
   6.260; 879.3  
   6.280; 880.5  
   6.300; 880.7  
   6.320; 881.3  
   6.340; 882.6  
   6.360; 884.9  
   6.380; 886.3  
   6.400; 888.4  
   6.420; 889.7  
   6.440; 890.0  
   6.460; 890.6  
   6.480; 892.7  
   6.500; 893.3  
   6.520; 894.1  
   6.540; 894.1  
   6.560; 894.6  
   6.580; 895.6  
   6.600; 896.2  
   6.620; 895.8  
   6.640; 896.5  
   6.660; 897.8  
   6.680; 898.5  
   6.700; 900.1  
   6.720; 901.1  
   6.740; 902.0  
   6.760; 902.8  
   6.780; 903.3  
   6.800; 903.0  
   6.820; 903.4  
   6.840; 903.4  
   6.860; 903.7  
   6.880; 903.9  
   6.900; 904.6  
   6.920; 904.2  
   6.940; 904.5  
   6.960; 904.0  
   6.980; 904.0  
   7.000; 903.9  
   7.020; 903.6  
   7.040; 903.3  
   7.060; 903.0  
   7.080; 899.3  
   7.100; 902.2  
   7.120; 899.0  
   7.140; 900.7  
   7.160; 900.4  
   7.180; 900.1  
   7.200; 898.4  
   7.220; 897.5  
   7.240; 897.5  
   7.260; 896.2  
   7.280; 894.4  
   7.300; 892.1  
   7.320; 892.1  
   7.340; 892.7  
   7.360; 889.5  
   7.380; 889.1  
   7.400; 888.3  
   7.420; 887.8  
   7.440; 886.2  
   7.460; 885.2  
   7.480; 883.3  
   7.500; 881.1  
   7.520; 879.7  
   7.540; 878.1  
   7.560; 876.5  
   7.580; 875.0  
   7.600; 873.3  
   7.620; 871.2  
   7.640; 868.7  
   7.660; 867.8  
   7.680; 865.2  
   7.700; 863.7  
   7.720; 861.9  
   7.740; 860.9  
   7.760; 858.5  
   7.780; 856.4  
   7.800; 854.1  
   7.820; 852.1  
   7.840; 849.6  
   7.860; 847.8  
   7.880; 845.0  
   7.900; 843.2  
   7.920; 840.6  
   7.940; 838.5  
   7.960; 835.6  
   7.980; 832.8  
   8.000; 830.1  
   8.020; 827.3  
   8.040; 824.4  
   8.060; 821.1  
   8.080; 817.8  
   8.100; 814.2  
   8.120; 810.4  
   8.140; 805.6  
   8.160; 800.7  
   8.180; 794.2  
   8.200; 788.5  
   8.220; 782.5  
   8.240; 777.2  
   8.260; 771.7  
   8.280; 766.8  
   8.300; 761.6  
   8.320; 757.2  
   8.340; 752.8  
   8.360; 749.4  
   8.380; 745.7  
   8.400; 742.2  
   8.420; 738.2  
   8.440; 734.3  
   8.460; 729.7  
   8.480; 725.4  
   8.500; 720.8  
   8.520; 717.1  
   8.540; 712.9  
   8.560; 709.0  
   8.580; 704.9  
   8.600; 700.5  
   8.620; 695.3  
   8.640; 689.5  
   8.660; 683.8  
