deplacement (mm);charge (N)

       0;   2.598
 0.02000;   6.418
 0.04000;   9.322
 0.06000;  11.46 
 0.08000;  13.29 
  0.1000;  14.82 
  0.1200;  17.11 
  0.1400;  18.80 
  0.1600;  20.63 
  0.1800;  22.31 
  0.2000;  23.99 
  0.2200;  25.37 
  0.2400;  26.44 
  0.2600;  27.20 
  0.2800;  27.66 
  0.3000;  28.27 
  0.3200;  27.81 
  0.3400;  28.73 
  0.3600;  29.03 
  0.3800;  29.34 
  0.4000;  29.49 
  0.4200;  29.80 
  0.4400;  30.41 
  0.4600;  30.72 
  0.4800;  31.63 
  0.5000;  31.94 
  0.5200;  31.94 
  0.5400;  32.24 
  0.5600;  33.16 
  0.5800;  33.92 
  0.6000;  34.54 
  0.6200;  36.37 
  0.6400;  37.74 
  0.6600;  39.27 
  0.6800;  41.41 
  0.7000;  42.79 
  0.7200;  44.47 
  0.7400;  46.00 
  0.7600;  47.07 
  0.7800;  48.75 
  0.8000;  49.82 
  0.8200;  51.19 
  0.8400;  53.18 
  0.8600;  53.79 
  0.8800;  56.08 
  0.9000;  57.15 
  0.9200;  58.83 
  0.9400;  60.51 
  0.9600;  62.04 
  0.9800;  63.57 
   1.000;  65.25 
   1.020;  66.47 
   1.040;  68.00 
   1.060;  69.38 
   1.080;  71.67 
   1.100;  73.35 
   1.120;  75.79 
   1.140;  78.24 
   1.160;  80.23 
   1.180;  82.37 
   1.200;  83.74 
   1.220;  86.03 
   1.240;  88.02 
   1.260;  90.31 
   1.280;  92.45 
   1.300;  94.28 
   1.320;  95.51 
   1.340;  97.65 
   1.360;  99.17 
   1.380; 100.7  
   1.400; 102.7  
   1.420; 104.5  
   1.440; 106.4  
   1.460; 108.2  
   1.480; 110.2  
   1.500; 112.6  
   1.520; 115.1  
   1.540; 117.2  
   1.560; 119.5  
   1.580; 121.9  
   1.600; 124.2  
   1.620; 126.7  
   1.640; 129.3  
   1.660; 131.4  
   1.680; 134.0  
   1.700; 136.3  
   1.720; 139.2  
   1.740; 141.7  
   1.760; 144.7  
   1.780; 147.5  
   1.800; 151.0  
   1.820; 153.6  
   1.840; 156.5  
   1.860; 159.5  
   1.880; 163.1  
   1.900; 166.1  
   1.920; 168.7  
   1.940; 172.2  
   1.960; 175.6  
   1.980; 178.8  
   2.000; 182.3  
   2.020; 185.5  
   2.040; 188.6  
   2.060; 192.1  
   2.080; 195.3  
   2.100; 198.8  
   2.120; 202.3  
   2.140; 205.5  
   2.160; 209.4  
   2.180; 213.0  
   2.200; 216.5  
   2.220; 219.9  
   2.240; 223.9  
   2.260; 227.2  
   2.280; 231.1  
   2.300; 234.7  
   2.320; 237.9  
   2.340; 242.2  
   2.360; 245.4  
   2.380; 249.5  
   2.400; 253.2  
   2.420; 256.7  
   2.440; 260.5  
   2.460; 264.1  
   2.480; 267.9  
   2.500; 271.4  
   2.520; 274.9  
   2.540; 278.6  
   2.560; 281.9  
   2.580; 285.6  
   2.600; 288.8  
   2.620; 292.8  
   2.640; 296.1  
   2.660; 299.8  
   2.680; 303.0  
   2.700; 306.7  
   2.720; 310.4  
   2.740; 313.3  
   2.760; 317.2  
   2.780; 320.3  
   2.800; 324.4  
   2.820; 327.5  
   2.840; 331.0  
   2.860; 334.2  
   2.880; 338.0  
   2.900; 341.4  
   2.920; 344.7  
   2.940; 348.7  
   2.960; 352.1  
   2.980; 355.9  
   3.000; 359.6  
   3.020; 362.8  
   3.040; 366.6  
   3.060; 370.7  
   3.080; 374.2  
   3.100; 378.2  
   3.120; 382.2  
   3.140; 386.3  
   3.160; 390.3  
   3.180; 394.9  
   3.200; 398.2  
   3.220; 403.0  
   3.240; 406.6  
   3.260; 411.1  
   3.280; 415.2  
   3.300; 419.6  
   3.320; 423.4  
   3.340; 427.7  
   3.360; 431.2  
   3.380; 436.0  
   3.400; 439.6  
   3.420; 443.9  
   3.440; 447.4  
   3.460; 451.9  
   3.480; 455.4  
   3.500; 459.5  
   3.520; 463.8  
   3.540; 467.5  
   3.560; 471.6  
   3.580; 475.7  
   3.600; 479.5  
   3.620; 483.6  
   3.640; 487.8  
   3.660; 491.7  
   3.680; 496.0  
   3.700; 499.4  
   3.720; 503.5  
   3.740; 507.2  
   3.760; 511.3  
   3.780; 515.3  
   3.800; 519.9  
   3.820; 523.4  
   3.840; 528.0  
   3.860; 532.1  
   3.880; 536.2  
   3.900; 540.2  
   3.920; 544.3  
   3.940; 548.1  
   3.960; 552.4  
   3.980; 556.8  
   4.000; 560.8  
   4.020; 564.6  
   4.040; 569.1  
   4.060; 572.9  
   4.080; 576.9  
   4.100; 581.3  
   4.120; 585.3  
   4.140; 589.4  
   4.160; 594.0  
   4.180; 598.3  
   4.200; 602.1  
   4.220; 606.4  
   4.240; 610.5  
   4.260; 614.5  
   4.280; 618.6  
   4.300; 623.3  
   4.320; 627.3  
   4.340; 631.7  
   4.360; 635.8  
   4.380; 640.4  
   4.400; 644.3  
   4.420; 648.4  
   4.440; 652.5  
   4.460; 657.1  
   4.480; 661.1  
   4.500; 665.0  
   4.520; 669.5  
   4.540; 673.9  
   4.560; 677.9  
   4.580; 682.3  
   4.600; 686.7  
   4.620; 691.2  
   4.640; 695.4  
   4.660; 700.0  
   4.680; 704.2  
   4.700; 708.6  
   4.720; 713.3  
   4.740; 717.6  
   4.760; 722.5  
   4.780; 726.6  
   4.800; 731.2  
   4.820; 735.3  
   4.840; 740.4  
   4.860; 744.0  
   4.880; 748.9  
   4.900; 753.1  
   4.920; 757.6  
   4.940; 761.9  
   4.960; 766.7  
   4.980; 770.9  
   5.000; 775.4  
   5.020; 779.8  
   5.040; 783.8  
   5.060; 787.7  
   5.080; 792.0  
   5.100; 796.6  
   5.120; 800.9  
   5.140; 804.9  
   5.160; 809.0  
   5.180; 813.3  
   5.200; 817.1  
   5.220; 821.4  
   5.240; 825.5  
   5.260; 829.0  
   5.280; 833.1  
   5.300; 837.4  
   5.320; 841.2  
   5.340; 845.4  
   5.360; 848.7  
   5.380; 852.8  
   5.400; 856.8  
   5.420; 860.6  
   5.440; 864.2  
   5.460; 868.4  
   5.480; 871.6  
   5.500; 875.6  
   5.520; 879.3  
   5.540; 882.9  
   5.560; 886.8  
   5.580; 890.0  
   5.600; 893.6  
   5.620; 897.2  
   5.640; 901.0  
   5.660; 904.2  
   5.680; 907.4  
   5.700; 910.6  
   5.720; 914.3  
   5.740; 917.0  
   5.760; 920.5  
   5.780; 923.6  
   5.800; 927.0  
   5.820; 929.7  
   5.840; 932.8  
   5.860; 935.7  
   5.880; 938.4  
   5.900; 941.0  
   5.920; 943.6  
   5.940; 945.9  
   5.960; 948.7  
   5.980; 951.1  
   6.000; 953.4  
   6.020; 955.7  
   6.040; 957.8  
   6.060; 959.5  
   6.080; 961.5  
   6.100; 963.3  
   6.120; 965.3  
   6.140; 966.5  
   6.160; 968.2  
   6.180; 969.9  
   6.200; 970.8  
   6.220; 972.5  
   6.240; 973.1  
   6.260; 973.9  
   6.280; 974.3  
   6.300; 975.4  
   6.320; 975.6  
   6.340; 975.9  
   6.360; 975.6  
   6.380; 975.7  
   6.400; 975.4  
   6.420; 974.9  
   6.440; 973.7  
   6.460; 973.1  
   6.480; 971.9  
   6.500; 970.4  
   6.520; 968.4  
   6.540; 966.1  
   6.560; 963.0  
   6.580; 959.2  
   6.600; 954.3  
   6.620; 948.5  
   6.640; 941.9  
   6.660; 933.8  
   6.680; 925.7  
   6.700; 917.5  
   6.720; 909.7  
   6.740; 900.4  
   6.760; 888.4  
   6.780; 864.5  
   6.800; 813.4  
   6.820; 760.4  
   6.840; 721.4  
   6.860; 683.2  

