deplacement (mm)	charge (N)

       0	  0.3056
 0.02000	   5.043
 0.04000	   9.933
 0.06000	  14.21 
 0.08000	  18.80 
  0.1000	  20.32 
  0.1200	  22.62 
  0.1400	  24.45 
  0.1600	  27.35 
  0.1800	  27.51 
  0.2000	  27.51 
  0.2200	  29.19 
  0.2400	  31.02 
  0.2600	  31.94 
  0.2800	  33.62 
  0.3000	  34.54 
  0.3200	  34.99 
  0.3400	  35.76 
  0.3600	  36.37 
  0.3800	  36.67 
  0.4000	  36.67 
  0.4200	  36.83 
  0.4400	  37.44 
  0.4600	  38.97 
  0.4800	  39.12 
  0.5000	  39.88 
  0.5200	  41.11 
  0.5400	  42.33 
  0.5600	  44.01 
  0.5800	  46.30 
  0.6000	  47.98 
  0.6200	  49.82 
  0.6400	  50.73 
  0.6600	  52.11 
  0.6800	  53.79 
  0.7000	  55.62 
  0.7200	  56.69 
  0.7400	  58.83 
  0.7600	  60.97 
  0.7800	  63.11 
  0.8000	  64.64 
  0.8200	  66.93 
  0.8400	  68.61 
  0.8600	  71.06 
  0.8800	  73.20 
  0.9000	  75.34 
  0.9200	  77.17 
  0.9400	  78.70 
  0.9600	  81.91 
  0.9800	  84.20 
   1.000	  87.41 
   1.020	  89.39 
   1.040	  91.69 
   1.060	  93.67 
   1.080	  96.88 
   1.100	  98.41 
   1.120	 100.6  
   1.140	 102.5  
   1.160	 104.5  
   1.180	 106.5  
   1.200	 108.6  
   1.220	 110.5  
   1.240	 112.5  
   1.260	 114.9  
   1.280	 117.4  
   1.300	 119.7  
   1.320	 122.2  
   1.340	 124.5  
   1.360	 127.1  
   1.380	 129.7  
   1.400	 132.3  
   1.420	 135.4  
   1.440	 138.3  
   1.460	 141.8  
   1.480	 144.4  
   1.500	 147.3  
   1.520	 150.7  
   1.540	 153.9  
   1.560	 156.5  
   1.580	 159.5  
   1.600	 163.1  
   1.620	 166.6  
   1.640	 169.8  
   1.660	 173.7  
   1.680	 177.4  
   1.700	 181.7  
   1.720	 185.8  
   1.740	 190.6  
   1.760	 195.1  
   1.780	 199.9  
   1.800	 204.5  
   1.820	 209.5  
   1.840	 214.5  
   1.860	 219.6  
   1.880	 224.9  
   1.900	 230.3  
   1.920	 235.9  
   1.940	 241.3  
   1.960	 247.4  
   1.980	 253.4  
   2.000	 258.9  
   2.020	 265.1  
   2.040	 271.2  
   2.060	 276.9  
   2.080	 283.3  
   2.100	 289.4  
   2.120	 295.7  
   2.140	 302.1  
   2.160	 308.7  
   2.180	 315.3  
   2.200	 321.8  
   2.220	 327.9  
   2.240	 335.0  
   2.260	 341.5  
   2.280	 348.3  
   2.300	 355.3  
   2.320	 362.3  
   2.340	 369.0  
   2.360	 375.9  
   2.380	 382.9  
   2.400	 390.1  
   2.420	 397.2  
   2.440	 404.0  
   2.460	 411.8  
   2.480	 418.4  
   2.500	 425.7  
   2.520	 432.6  
   2.540	 440.6  
   2.560	 447.4  
   2.580	 454.6  
   2.600	 461.8  
   2.620	 469.6  
   2.640	 476.8  
   2.660	 484.1  
   2.680	 491.3  
   2.700	 499.2  
   2.720	 506.4  
   2.740	 514.2  
   2.760	 521.5  
   2.780	 528.9  
   2.800	 536.4  
   2.820	 544.2  
   2.840	 551.8  
   2.860	 559.3  
   2.880	 566.9  
   2.900	 574.9  
   2.920	 582.2  
   2.940	 589.7  
   2.960	 597.8  
   2.980	 605.3  
   3.000	 613.1  
   3.020	 620.3  
   3.040	 628.2  
   3.060	 635.7  
   3.080	 643.5  
   3.100	 651.3  
   3.120	 659.2  
   3.140	 666.7  
   3.160	 674.4  
   3.180	 682.3  
   3.200	 690.4  
   3.220	 698.2  
   3.240	 706.0  
   3.260	 713.8  
   3.280	 721.9  
   3.300	 729.2  
   3.320	 737.6  
   3.340	 745.3  
   3.360	 753.2  
   3.380	 761.5  
   3.400	 769.7  
   3.420	 777.4  
   3.440	 785.0  
   3.460	 793.6  
   3.480	 801.0  
   3.500	 809.0  
   3.520	 816.8  
   3.540	 825.2  
   3.560	 833.0  
   3.580	 841.2  
   3.600	 849.2  
   3.620	 857.4  
   3.640	 864.8  
   3.660	 872.7  
   3.680	 880.5  
   3.700	 888.9  
   3.720	 896.5  
   3.740	 904.5  
   3.760	 912.6  
   3.780	 920.2  
   3.800	 928.2  
   3.820	 936.0  
   3.840	 943.5  
   3.860	 951.4  
   3.880	 958.7  
   3.900	 967.0  
   3.920	 974.0  
   3.940	 981.7  
   3.960	 989.5  
   3.980	 996.5  
   4.000	1004    
   4.020	1011    
   4.040	1019    
   4.060	1026    
   4.080	1033    
   4.100	1039    
   4.120	1046    
   4.140	1053    
   4.160	1059    
   4.180	1065    
   4.200	1072    
   4.220	1077    
   4.240	1082    
   4.260	1083    
   4.280	1078    
   4.300	1072    
   4.320	1064    
   4.340	1051    
   4.360	1032    
   4.380	 967.5  

