deplacement (mm)	charge (N)

       0	   2.139
 0.02000	   4.737
 0.04000	   6.571
 0.06000	   7.946
 0.08000	  11.16 
  0.1000	  13.91 
  0.1200	  16.81 
  0.1400	  18.18 
  0.1600	  20.48 
  0.1800	  21.85 
  0.2000	  24.30 
  0.2200	  26.28 
  0.2400	  28.12 
  0.2600	  28.73 
  0.2800	  30.10 
  0.3000	  33.31 
  0.3200	  36.22 
  0.3400	  37.90 
  0.3600	  39.43 
  0.3800	  41.11 
  0.4000	  41.72 
  0.4200	  42.94 
  0.4400	  43.70 
  0.4600	  43.86 
  0.4800	  43.70 
  0.5000	  44.01 
  0.5200	  43.86 
  0.5400	  44.16 
  0.5600	  44.01 
  0.5800	  44.47 
  0.6000	  45.08 
  0.6200	  45.84 
  0.6400	  46.15 
  0.6600	  46.45 
  0.6800	  46.45 
  0.7000	  47.22 
  0.7200	  47.83 
  0.7400	  48.90 
  0.7600	  49.05 
  0.7800	  50.89 
  0.8000	  53.18 
  0.8200	  55.78 
  0.8400	  57.46 
  0.8600	  59.75 
  0.8800	  61.28 
  0.9000	  63.26 
  0.9200	  65.40 
  0.9400	  66.93 
  0.9600	  68.92 
  0.9800	  70.90 
   1.000	  73.35 
   1.020	  75.03 
   1.040	  77.48 
   1.060	  79.16 
   1.080	  81.45 
   1.100	  83.13 
   1.120	  85.12 
   1.140	  86.95 
   1.160	  89.09 
   1.180	  90.62 
   1.200	  93.67 
   1.220	  95.51 
   1.240	  98.87 
   1.260	 101.3  
   1.280	 104.1  
   1.300	 106.5  
   1.320	 109.6  
   1.340	 112.2  
   1.360	 115.1  
   1.380	 118.3  
   1.400	 121.6  
   1.420	 124.4  
   1.440	 127.3  
   1.460	 130.7  
   1.480	 133.9  
   1.500	 136.9  
   1.520	 139.4  
   1.540	 143.0  
   1.560	 145.5  
   1.580	 149.0  
   1.600	 152.0  
   1.620	 155.4  
   1.640	 158.6  
   1.660	 162.4  
   1.680	 165.6  
   1.700	 170.1  
   1.720	 173.7  
   1.740	 177.9  
   1.760	 182.8  
   1.780	 187.5  
   1.800	 192.2  
   1.820	 197.3  
   1.840	 202.3  
   1.860	 207.4  
   1.880	 212.3  
   1.900	 217.5  
   1.920	 222.5  
   1.940	 228.0  
   1.960	 233.6  
   1.980	 238.8  
   2.000	 244.8  
   2.020	 250.5  
   2.040	 256.4  
   2.060	 262.1  
   2.080	 268.3  
   2.100	 274.1  
   2.120	 280.4  
   2.140	 286.4  
   2.160	 292.9  
   2.180	 299.1  
   2.200	 305.6  
   2.220	 312.2  
   2.240	 318.9  
   2.260	 325.3  
   2.280	 331.8  
   2.300	 338.6  
   2.320	 345.7  
   2.340	 352.5  
   2.360	 359.6  
   2.380	 366.6  
   2.400	 373.6  
   2.420	 380.7  
   2.440	 387.7  
   2.460	 395.0  
   2.480	 402.4  
   2.500	 409.5  
   2.520	 416.7  
   2.540	 424.1  
   2.560	 430.9  
   2.580	 438.4  
   2.600	 445.8  
   2.620	 453.5  
   2.640	 460.9  
   2.660	 468.5  
   2.680	 475.6  
   2.700	 483.3  
   2.720	 490.8  
   2.740	 498.9  
   2.760	 506.0  
   2.780	 514.1  
   2.800	 521.4  
   2.820	 529.0  
   2.840	 536.7  
   2.860	 544.8  
   2.880	 552.1  
   2.900	 560.1  
   2.920	 567.4  
   2.940	 574.9  
   2.960	 583.1  
   2.980	 591.1  
   3.000	 598.4  
   3.020	 606.5  
   3.040	 614.5  
   3.060	 622.1  
   3.080	 629.7  
   3.100	 637.7  
   3.120	 645.5  
   3.140	 653.3  
   3.160	 662.1  
   3.180	 669.9  
   3.200	 677.9  
   3.220	 685.7  
   3.240	 693.6  
   3.260	 701.7  
   3.280	 710.0  
   3.300	 718.4  
   3.320	 726.5  
   3.340	 734.4  
   3.360	 742.8  
   3.380	 750.8  
   3.400	 759.2  
   3.420	 767.1  
   3.440	 775.4  
   3.460	 783.6  
   3.480	 791.7  
   3.500	 799.8  
   3.520	 808.2  
   3.540	 816.3  
   3.560	 824.4  
   3.580	 832.8  
   3.600	 840.8  
   3.620	 848.9  
   3.640	 857.1  
   3.660	 865.4  
   3.680	 873.0  
   3.700	 881.4  
   3.720	 889.4  
   3.740	 897.8  
   3.760	 905.6  
   3.780	 913.7  
   3.800	 921.5  
   3.820	 929.7  
   3.840	 937.5  
   3.860	 946.2  
   3.880	 954.0  
   3.900	 961.6  
   3.920	 969.9  
   3.940	 977.4  
   3.960	 985.6  
   3.980	 993.7  
   4.000	1001    
   4.020	1009    
   4.040	1017    
   4.060	1025    
   4.080	1033    
   4.100	1040    
   4.120	1048    
   4.140	1055    
   4.160	1063    
   4.180	1071    
   4.200	1078    
   4.220	1085    
   4.240	1093    
   4.260	1100    
   4.280	1107    
   4.300	1114    
   4.320	1122    
   4.340	1129    
   4.360	1136    
   4.380	1142    
   4.400	1148    
   4.420	1153    
   4.440	1156    
   4.460	1157    
   4.480	1137    

