deplacement (mm)	charge (N)
   5.700	 497.2  
   5.720	 497.7  
   5.740	 499.5  
   5.760	 500.2  
   5.780	 502.3  
   5.800	 502.8  
   5.820	 504.3  
   5.840	 504.9  
   5.860	 506.3  
   5.880	 507.2  
   5.900	 507.8  
   5.920	 509.3  
   5.940	 510.5  
   5.960	 511.6  
   5.980	 512.2  
   6.000	 513.3  
   6.020	 514.5  
   6.040	 515.4  
   6.060	 516.5  
   6.080	 517.4  
   6.100	 518.9  
   6.120	 519.4  
   6.140	 521.1  
   6.160	 521.7  
   6.180	 522.2  
   6.200	 523.2  
   6.220	 524.1  
   6.240	 524.9  
   6.260	 525.8  
   6.280	 526.9  
   6.300	 527.0  
   6.320	 528.1  
   6.340	 528.7  
   6.360	 529.3  
   6.380	 529.8  
   6.400	 531.2  
   6.420	 531.6  
   6.440	 531.9  
   6.460	 532.4  
   6.480	 533.9  
   6.500	 534.1  
   6.520	 534.5  
   6.540	 535.5  
   6.560	 535.9  
   6.580	 536.5  
   6.600	 537.0  
   6.620	 537.3  
   6.640	 537.0  

