deplacement (mm)	charge (N)

       0	   1.987
 0.02000	   6.112
 0.04000	   7.182
 0.06000	   8.405
 0.08000	   9.169
  0.1000	   9.780
  0.1200	  10.24 
  0.1400	  11.46 
  0.1600	  12.07 
  0.1800	  12.22 
  0.2000	  13.91 
  0.2200	  14.82 
  0.2400	  17.27 
  0.2600	  19.10 
  0.2800	  20.17 
  0.3000	  22.16 
  0.3200	  24.14 
  0.3400	  25.06 
  0.3600	  27.05 
  0.3800	  28.73 
  0.4000	  29.95 
  0.4200	  31.94 
  0.4400	  34.08 
  0.4600	  34.99 
  0.4800	  37.29 
  0.5000	  39.27 
  0.5200	  41.26 
  0.5400	  42.48 
  0.5600	  44.62 
  0.5800	  46.45 
  0.6000	  48.44 
  0.6200	  50.73 
  0.6400	  53.48 
  0.6600	  55.93 
  0.6800	  58.53 
  0.7000	  60.97 
  0.7200	  63.26 
  0.7400	  65.40 
  0.7600	  67.70 
  0.7800	  69.53 
  0.8000	  71.21 
  0.8200	  73.66 
  0.8400	  75.64 
  0.8600	  77.78 
  0.8800	  79.31 
  0.9000	  81.60 
  0.9200	  83.28 
  0.9400	  85.42 
  0.9600	  87.71 
  0.9800	  89.85 
   1.000	  91.69 
   1.020	  93.98 
   1.040	  95.97 
   1.060	  98.11 
   1.080	 100.4  
   1.100	 103.0  
   1.120	 105.6  
   1.140	 108.2  
   1.160	 110.8  
   1.180	 113.8  
   1.200	 116.6  
   1.220	 119.0  
   1.240	 121.6  
   1.260	 124.2  
   1.280	 127.1  
   1.300	 130.0  
   1.320	 132.9  
   1.340	 136.5  
   1.360	 139.7  
   1.380	 143.2  
   1.400	 147.2  
   1.420	 150.7  
   1.440	 154.2  
   1.460	 158.2  
   1.480	 162.3  
   1.500	 166.1  
   1.520	 170.4  
   1.540	 174.2  
   1.560	 178.6  
   1.580	 182.3  
   1.600	 186.7  
   1.620	 191.0  
   1.640	 195.4  
   1.660	 199.9  
   1.680	 204.6  
   1.700	 208.9  
   1.720	 213.6  
   1.740	 218.4  
   1.760	 223.1  
   1.780	 227.8  
   1.800	 232.9  
   1.820	 237.6  
   1.840	 242.7  
   1.860	 247.6  
   1.880	 252.6  
   1.900	 257.8  
   1.920	 262.7  
   1.940	 268.2  
   1.960	 273.2  
   1.980	 278.4  
   2.000	 283.6  
   2.020	 289.0  
   2.040	 293.9  
   2.060	 299.5  
   2.080	 304.7  
   2.100	 310.7  
   2.120	 315.4  
   2.140	 321.2  
   2.160	 326.4  
   2.180	 332.1  
   2.200	 337.1  
   2.220	 342.5  
   2.240	 348.1  
   2.260	 353.8  
   2.280	 359.3  
   2.300	 364.8  
   2.320	 370.4  
   2.340	 376.1  
   2.360	 381.6  
   2.380	 386.9  
   2.400	 392.9  
   2.420	 398.2  
   2.440	 403.9  
   2.460	 409.2  
   2.480	 415.0  
   2.500	 420.5  
   2.520	 426.2  
   2.540	 431.7  
   2.560	 437.2  
   2.580	 442.5  
   2.600	 448.0  
   2.620	 453.5  
   2.640	 459.5  
   2.660	 464.9  
   2.680	 470.4  
   2.700	 475.7  
   2.720	 481.2  
   2.740	 486.4  
   2.760	 492.1  
   2.780	 497.6  
   2.800	 502.9  
   2.820	 508.3  
   2.840	 513.8  
   2.860	 518.6  
   2.880	 524.3  
   2.900	 529.6  
   2.920	 534.7  
   2.940	 540.2  
   2.960	 544.9  
   2.980	 550.6  
   3.000	 555.3  
   3.020	 560.5  
   3.040	 565.4  
   3.060	 570.6  
   3.080	 575.2  
   3.100	 580.2  
   3.120	 584.8  
   3.140	 589.4  
   3.160	 594.0  
   3.180	 599.0  
   3.200	 603.3  
   3.220	 607.7  
   3.240	 612.0  
   3.260	 616.0  
   3.280	 620.4  
   3.300	 624.4  
   3.320	 628.4  
   3.340	 631.9  
   3.360	 635.2  
   3.380	 638.3  
   3.400	 641.0  
   3.420	 643.3  
   3.440	 645.8  
   3.460	 647.8  
   3.480	 650.1  
   3.500	 651.1  
   3.520	 652.8  
   3.540	 653.4  
   3.560	 655.0  
   3.580	 655.3  
   3.600	 655.7  
   3.620	 656.0  
   3.640	 656.6  
   3.660	 656.0  
   3.680	 655.9  
   3.700	 655.4  
   3.720	 654.0  
   3.740	 652.5  
   3.760	 650.7  
   3.780	 648.8  
   3.800	 646.4  
   3.820	 644.3  
   3.840	 642.3  
   3.860	 639.4  
   3.880	 636.5  
   3.900	 634.2  
   3.920	 631.3  
   3.940	 628.5  
   3.960	 625.5  
   3.980	 622.4  
   4.000	 619.0  
   4.020	 615.5  
   4.040	 611.9  
   4.060	 608.3  
   4.080	 604.8  
   4.100	 601.2  
   4.120	 596.6  
   4.140	 592.3  
   4.160	 587.7  
   4.180	 581.9  
   4.200	 574.6  
   4.220	 566.5  
   4.240	 555.8  
   4.260	 539.7  
   4.280	 509.8  
   4.300	 466.1  
   4.320	 443.3  
   4.340	 432.3  
   4.360	 425.4  
   4.380	 419.3  
   4.400	 414.9  
   4.420	 411.1  
   4.440	 408.5  
   4.460	 406.6  
   4.480	 405.9  
   4.500	 403.4  
   4.520	 401.4  
   4.540	 399.4  
   4.560	 398.8  
   4.580	 397.3  
   4.600	 396.2  
   4.620	 394.1  
   4.640	 391.5  
   4.660	 389.1  
   4.680	 386.9  
   4.700	 384.5  
   4.720	 381.6  
   4.740	 377.9  
   4.760	 375.5  
   4.780	 372.1  
   4.800	 368.3  
   4.820	 362.8  
   4.840	 356.4  
   4.860	 347.0  
   4.880	 328.5  
