deplacement (mm)	charge (N)

       0	   1.070
 0.02000	   2.139
 0.04000	   3.209
 0.06000	   4.737
 0.08000	   5.960
  0.1000	   7.488
  0.1200	   9.016
  0.1400	  10.39 
  0.1600	  11.92 
  0.1800	  13.29 
  0.2000	  14.52 
  0.2200	  15.74 
  0.2400	  17.27 
  0.2600	  18.80 
  0.2800	  20.48 
  0.3000	  22.46 
  0.3200	  24.60 
  0.3400	  26.44 
  0.3600	  28.42 
  0.3800	  30.56 
  0.4000	  32.70 
  0.4200	  34.84 
  0.4400	  36.98 
  0.4600	  38.81 
  0.4800	  40.65 
  0.5000	  42.18 
  0.5200	  43.86 
  0.5400	  45.54 
  0.5600	  47.22 
  0.5800	  48.90 
  0.6000	  50.73 
  0.6200	  52.11 
  0.6400	  53.94 
  0.6600	  55.93 
  0.6800	  57.46 
  0.7000	  58.99 
  0.7200	  60.67 
  0.7400	  62.35 
  0.7600	  64.03 
  0.7800	  65.71 
  0.8000	  67.24 
  0.8200	  68.77 
  0.8400	  70.60 
  0.8600	  72.43 
  0.8800	  74.11 
  0.9000	  75.95 
  0.9200	  77.78 
  0.9400	  79.77 
  0.9600	  81.45 
  0.9800	  83.28 
   1.000	  85.12 
   1.020	  87.10 
   1.040	  88.94 
   1.060	  90.77 
   1.080	  92.60 
   1.100	  94.74 
   1.120	  96.58 
   1.140	  98.11 
   1.160	 100.2  
   1.180	 102.2  
   1.200	 104.2  
   1.220	 105.9  
   1.240	 107.7  
   1.260	 109.9  
   1.280	 112.0  
   1.300	 113.8  
   1.320	 115.8  
   1.340	 117.7  
   1.360	 119.5  
   1.380	 121.3  
   1.400	 123.6  
   1.420	 125.5  
   1.440	 127.9  
   1.460	 129.7  
   1.480	 132.0  
   1.500	 134.0  
   1.520	 136.3  
   1.540	 138.4  
   1.560	 140.9  
   1.580	 143.3  
   1.600	 145.6  
   1.620	 148.2  
   1.640	 150.8  
   1.660	 153.3  
   1.680	 155.9  
   1.700	 158.6  
   1.720	 161.5  
   1.740	 164.3  
   1.760	 167.3  
   1.780	 170.4  
   1.800	 173.9  
   1.820	 177.1  
   1.840	 180.8  
   1.860	 184.1  
   1.880	 188.0  
   1.900	 191.5  
   1.920	 195.3  
   1.940	 199.0  
   1.960	 202.9  
   1.980	 207.1  
   2.000	 211.0  
   2.020	 215.0  
   2.040	 219.1  
   2.060	 223.3  
   2.080	 227.4  
   2.100	 231.7  
   2.120	 236.1  
   2.140	 240.7  
   2.160	 244.8  
   2.180	 249.2  
   2.200	 253.7  
   2.220	 258.6  
   2.240	 263.0  
   2.260	 267.3  
   2.280	 272.0  
   2.300	 276.4  
   2.320	 281.0  
   2.340	 285.3  
   2.360	 290.5  
   2.380	 295.1  
   2.400	 300.0  
   2.420	 304.6  
   2.440	 309.9  
   2.460	 314.5  
   2.480	 319.4  
   2.500	 324.4  
   2.520	 329.5  
   2.540	 334.7  
   2.560	 340.3  
   2.580	 345.4  
   2.600	 350.7  
   2.620	 356.2  
   2.640	 361.6  
   2.660	 366.9  
   2.680	 372.6  
   2.700	 378.1  
   2.720	 383.6  
   2.740	 388.9  
   2.760	 394.3  
   2.780	 400.2  
   2.800	 405.9  
   2.820	 411.4  
   2.840	 416.9  
   2.860	 423.0  
   2.880	 428.2  
   2.900	 434.6  
   2.920	 440.1  
   2.940	 446.5  
   2.960	 452.0  
   2.980	 457.7  
   3.000	 463.5  
   3.020	 469.3  
   3.040	 475.7  
   3.060	 481.7  
   3.080	 487.3  
   3.100	 493.7  
   3.120	 499.7  
   3.140	 505.7  
   3.160	 512.5  
   3.180	 518.6  
   3.200	 524.9  
   3.220	 531.2  
   3.240	 537.4  
   3.260	 544.2  
   3.280	 551.5  
   3.300	 558.2  
   3.320	 564.9  
   3.340	 572.6  
   3.360	 579.5  
   3.380	 586.6  
   3.400	 593.8  
   3.420	 601.2  
   3.440	 609.1  
   3.460	 616.4  
   3.480	 623.8  
   3.500	 631.6  
   3.520	 638.9  
   3.540	 646.2  
   3.560	 653.4  
   3.580	 660.8  
   3.600	 668.9  
   3.620	 676.0  
   3.640	 684.0  
