deplacement (mm)	charge (N)

       0	  0.3056
 0.02000	  0.7641
 0.04000	   1.222
 0.06000	   1.834
 0.08000	   2.445
  0.1000	   3.209
  0.1200	   3.515
  0.1400	   4.432
  0.1600	   4.890
  0.1800	   5.501
  0.2000	   5.654
  0.2200	   6.265
  0.2400	   7.029
  0.2600	   7.488
  0.2800	   8.099
  0.3000	   6.418
  0.3200	   5.043
  0.3400	   4.737
  0.3600	   4.890
  0.3800	   5.654
  0.4000	   6.571
  0.4200	   7.335
  0.4400	   7.793
  0.4600	   8.405
  0.4800	   9.169
  0.5000	   9.933
  0.5200	  10.54 
  0.5400	  11.46 
  0.5600	  12.22 
  0.5800	  12.53 
  0.6000	  13.29 
  0.6200	  14.06 
  0.6400	  14.67 
  0.6600	  15.43 
  0.6800	  16.35 
  0.7000	  16.66 
  0.7200	  16.96 
  0.7400	  17.42 
  0.7600	  17.73 
  0.7800	  18.80 
  0.8000	  19.25 
  0.8200	  19.87 
  0.8400	  20.32 
  0.8600	  20.94 
  0.8800	  21.70 
  0.9000	  22.31 
  0.9200	  23.23 
  0.9400	  23.84 
  0.9600	  24.45 
  0.9800	  25.52 
   1.000	  26.13 
   1.020	  26.89 
   1.040	  27.66 
   1.060	  28.58 
   1.080	  29.49 
   1.100	  30.41 
   1.120	  31.33 
   1.140	  32.24 
   1.160	  33.31 
   1.180	  34.23 
   1.200	  35.15 
   1.220	  36.22 
   1.240	  36.98 
   1.260	  38.05 
   1.280	  38.81 
   1.300	  40.04 
   1.320	  40.95 
   1.340	  42.02 
   1.360	  42.79 
   1.380	  43.55 
   1.400	  44.47 
   1.420	  45.54 
   1.440	  46.61 
   1.460	  47.83 
   1.480	  48.90 
   1.500	  50.12 
   1.520	  51.19 
   1.540	  52.41 
   1.560	  53.64 
   1.580	  54.86 
   1.600	  56.39 
   1.620	  57.61 
   1.640	  58.99 
   1.660	  60.67 
   1.680	  62.35 
   1.700	  63.88 
   1.720	  65.10 
   1.740	  66.47 
   1.760	  68.00 
   1.780	  69.53 
   1.800	  70.90 
   1.820	  72.28 
   1.840	  73.96 
   1.860	  75.64 
   1.880	  77.17 
   1.900	  78.70 
   1.920	  80.07 
   1.940	  81.75 
   1.960	  83.44 
   1.980	  85.27 
   2.000	  86.80 
   2.020	  88.48 
   2.040	  90.31 
   2.060	  92.15 
   2.080	  93.67 
   2.100	  95.51 
   2.120	  97.34 
   2.140	  99.02 
   2.160	 100.9  
   2.180	 102.7  
   2.200	 104.5  
   2.220	 106.7  
   2.240	 108.5  
   2.260	 110.6  
   2.280	 112.6  
   2.300	 114.8  
   2.320	 116.7  
   2.340	 119.0  
   2.360	 121.3  
   2.380	 123.3  
   2.400	 125.8  
   2.420	 128.1  
   2.440	 130.7  
   2.460	 133.3  
   2.480	 136.0  
   2.500	 138.8  
   2.520	 141.2  
   2.540	 144.3  
   2.560	 147.0  
   2.580	 149.9  
   2.600	 152.7  
   2.620	 155.6  
   2.640	 158.8  
   2.660	 161.5  
   2.680	 164.4  
   2.700	 167.0  
   2.720	 170.1  
   2.740	 172.7  
   2.760	 176.0  
   2.780	 179.2  
   2.800	 182.2  
   2.820	 185.1  
   2.840	 188.1  
   2.860	 191.5  
   2.880	 194.4  
   2.900	 197.6  
   2.920	 200.9  
   2.940	 204.2  
   2.960	 207.5  
   2.980	 210.6  
   3.000	 213.8  
   3.020	 217.1  
   3.040	 220.5  
   3.060	 223.7  
   3.080	 227.2  
   3.100	 230.6  
   3.120	 234.3  
   3.140	 237.5  
   3.160	 240.8  
   3.180	 244.7  
   3.200	 248.0  
   3.220	 251.5  
   3.240	 255.0  
   3.260	 257.9  
   3.280	 260.7  
   3.300	 263.4  
   3.320	 266.2  
   3.340	 269.1  
   3.360	 272.0  
   3.380	 275.1  
   3.400	 278.3  
   3.420	 281.3  
   3.440	 284.5  
   3.460	 287.6  
   3.480	 290.5  
   3.500	 293.2  
   3.520	 295.2  
   3.540	 297.4  
   3.560	 299.2  
   3.580	 300.4  
   3.600	 302.0  
   3.620	 303.5  
   3.640	 305.6  
   3.660	 307.6  
   3.680	 310.1  
   3.700	 312.8  
   3.720	 315.4  
   3.740	 318.6  
   3.760	 321.7  
   3.780	 324.6  
   3.800	 328.2  
   3.820	 331.1  
   3.840	 334.2  
   3.860	 337.1  
   3.880	 339.7  
   3.900	 342.8  
   3.920	 345.7  
   3.940	 348.7  
   3.960	 351.5  
   3.980	 354.4  
   4.000	 357.0  
   4.020	 360.0  
   4.040	 362.9  
   4.060	 365.8  
   4.080	 369.0  
   4.100	 372.1  
   4.120	 375.2  
   4.140	 378.5  
   4.160	 381.6  
   4.180	 384.5  
   4.200	 387.5  
   4.220	 391.2  
   4.240	 394.6  
   4.260	 397.9  
   4.280	 401.6  
   4.300	 405.1  
   4.320	 408.8  
   4.340	 412.1  
   4.360	 415.8  
   4.380	 419.8  
   4.400	 423.1  
   4.420	 426.5  
   4.440	 429.9  
   4.460	 433.4  
   4.480	 437.0  
   4.500	 440.4  
   4.520	 444.2  
   4.540	 447.7  
   4.560	 451.1  
   4.580	 453.9  
   4.600	 456.9  
   4.620	 460.1  
   4.640	 463.2  
   4.660	 465.9  
   4.680	 469.3  
   4.700	 472.5  
   4.720	 475.7  
   4.740	 479.2  
   4.760	 482.1  
   4.780	 485.6  
   4.800	 489.0  
   4.820	 492.4  
   4.840	 495.9  
   4.860	 499.5  
   4.880	 502.9  
   4.900	 506.6  
   4.920	 510.1  
   4.940	 513.4  
   4.960	 516.8  
   4.980	 520.6  
   5.000	 523.8  
   5.020	 527.2  
   5.040	 530.4  
   5.060	 533.6  
   5.080	 537.1  
   5.100	 540.5  
   5.120	 543.9  
   5.140	 547.1  
   5.160	 550.9  
   5.180	 554.4  
   5.200	 557.6  
   5.220	 561.6  
   5.240	 564.6  
   5.260	 568.2  
   5.280	 571.5  
   5.300	 575.0  
   5.320	 578.2  
   5.340	 581.4  
   5.360	 585.1  
   5.380	 588.3  
   5.400	 591.5  
   5.420	 595.0  
   5.440	 598.7  
   5.460	 601.9  
   5.480	 605.3  
   5.500	 608.8  
   5.520	 611.7  
   5.540	 615.1  
   5.560	 618.4  
   5.580	 621.8  
   5.600	 625.0  
   5.620	 628.4  
   5.640	 631.9  
   5.660	 635.2  
   5.680	 638.8  
   5.700	 642.0  
   5.720	 644.7  
   5.740	 647.6  
   5.760	 650.4  
   5.780	 653.1  
   5.800	 656.3  
   5.820	 659.1  
   5.840	 662.1  
   5.860	 665.6  
   5.880	 668.7  
   5.900	 671.8  
   5.920	 674.8  
   5.940	 678.0  
   5.960	 681.4  
   5.980	 684.4  
   6.000	 688.0  
   6.020	 691.2  
   6.040	 694.1  
   6.060	 697.3  
   6.080	 700.3  
   6.100	 704.0  
   6.120	 707.2  
   6.140	 710.3  
   6.160	 713.2  
   6.180	 716.2  
   6.200	 719.1  
   6.220	 722.0  
   6.240	 725.2  
   6.260	 728.3  
   6.280	 731.4  
   6.300	 734.4  
   6.320	 737.6  
   6.340	 740.7  
   6.360	 743.7  
   6.380	 746.5  
   6.400	 749.5  
   6.420	 752.9  
   6.440	 755.7  
   6.460	 758.7  
   6.480	 761.9  
   6.500	 765.0  
   6.520	 768.0  
   6.540	 771.1  
   6.560	 774.1  
   6.580	 776.9  
   6.600	 779.6  
   6.620	 782.4  
   6.640	 785.5  
   6.660	 788.2  
   6.680	 791.0  
   6.700	 793.4  
   6.720	 793.9  
   6.740	 789.9  
   6.760	 788.1  
   6.780	 787.4  
   6.800	 787.7  
   6.820	 788.7  
   6.840	 790.2  
   6.860	 791.7  
   6.880	 793.7  
   6.900	 795.8  
   6.920	 798.1  
   6.940	 800.4  
   6.960	 803.0  
   6.980	 805.5  
   7.000	 807.9  
   7.020	 810.5  
   7.040	 813.3  
   7.060	 815.9  
   7.080	 818.8  
   7.100	 817.1  

