deplacement (mm)	charge (N)

       0	   1.375
 0.02000	   2.903
 0.04000	   4.432
 0.06000	   6.418
 0.08000	   8.099
  0.1000	  10.09 
  0.1200	  11.46 
  0.1400	  12.68 
  0.1600	  14.36 
  0.1800	  15.74 
  0.2000	  17.27 
  0.2200	  18.80 
  0.2400	  20.32 
  0.2600	  22.00 
  0.2800	  23.53 
  0.3000	  25.21 
  0.3200	  27.05 
  0.3400	  28.58 
  0.3600	  30.26 
  0.3800	  32.40 
  0.4000	  34.23 
  0.4200	  36.22 
  0.4400	  38.20 
  0.4600	  40.34 
  0.4800	  42.18 
  0.5000	  44.01 
  0.5200	  45.84 
  0.5400	  48.14 
  0.5600	  49.97 
  0.5800	  51.50 
  0.6000	  53.33 
  0.6200	  54.86 
  0.6400	  56.39 
  0.6600	  57.76 
  0.6800	  59.29 
  0.7000	  61.12 
  0.7200	  62.65 
  0.7400	  64.03 
  0.7600	  66.01 
  0.7800	  67.54 
  0.8000	  69.53 
  0.8200	  71.52 
  0.8400	  73.35 
  0.8600	  75.34 
  0.8800	  77.32 
  0.9000	  79.16 
  0.9200	  81.45 
  0.9400	  83.59 
  0.9600	  86.03 
  0.9800	  88.33 
   1.000	  90.62 
   1.020	  93.06 
   1.040	  95.51 
   1.060	  98.11 
   1.080	 100.6  
   1.100	 103.0  
   1.120	 105.4  
   1.140	 107.9  
   1.160	 110.5  
   1.180	 112.9  
   1.200	 115.4  
   1.220	 118.1  
   1.240	 120.7  
   1.260	 123.8  
   1.280	 126.7  
   1.300	 129.3  
   1.320	 132.2  
   1.340	 135.1  
   1.360	 138.3  
   1.380	 141.4  
   1.400	 144.7  
   1.420	 148.1  
   1.440	 151.3  
   1.460	 154.6  
   1.480	 158.0  
   1.500	 161.5  
   1.520	 165.3  
   1.540	 169.0  
   1.560	 172.5  
   1.580	 176.3  
   1.600	 180.2  
   1.620	 183.5  
   1.640	 187.2  
   1.660	 191.2  
   1.680	 194.8  
   1.700	 198.7  
   1.720	 202.3  
   1.740	 206.1  
   1.760	 210.3  
   1.780	 213.9  
   1.800	 217.6  
   1.820	 221.7  
   1.840	 225.4  
   1.860	 229.2  
   1.880	 233.0  
   1.900	 237.0  
   1.920	 241.0  
   1.940	 245.3  
   1.960	 249.1  
   1.980	 253.1  
   2.000	 257.3  
   2.020	 261.2  
   2.040	 265.1  
   2.060	 269.1  
   2.080	 272.9  
   2.100	 277.2  
   2.120	 281.0  
   2.140	 285.3  
   2.160	 289.3  
   2.180	 293.2  
   2.200	 297.2  
   2.220	 301.2  
   2.240	 305.3  
   2.260	 309.1  
   2.280	 313.1  
   2.300	 317.5  
   2.320	 321.4  
   2.340	 325.2  
   2.360	 329.0  
   2.380	 333.0  
   2.400	 336.8  
   2.420	 340.9  
   2.440	 344.7  
   2.460	 348.9  
   2.480	 352.7  
   2.500	 356.7  
   2.520	 360.5  
   2.540	 364.6  
   2.560	 368.4  
   2.580	 372.9  
   2.600	 376.8  
   2.620	 381.0  
   2.640	 384.9  
   2.660	 388.8  
   2.680	 392.6  
   2.700	 396.9  
   2.720	 400.8  
   2.740	 404.8  
   2.760	 408.6  
   2.780	 412.9  
   2.800	 417.0  
   2.820	 420.8  
   2.840	 425.0  
   2.860	 428.8  
   2.880	 432.6  
   2.900	 436.6  
   2.920	 440.6  
   2.940	 444.5  
   2.960	 448.2  
   2.980	 452.3  
   3.000	 456.1  
   3.020	 459.8  
   3.040	 463.8  
   3.060	 467.1  
   3.080	 471.3  
   3.100	 475.1  
   3.120	 479.1  
   3.140	 482.9  
   3.160	 486.4  
   3.180	 490.2  
   3.200	 494.0  
   3.220	 497.7  
   3.240	 501.2  
   3.260	 504.7  
   3.280	 508.4  
   3.300	 512.4  
   3.320	 516.0  
   3.340	 519.6  
   3.360	 523.7  
   3.380	 527.4  
   3.400	 530.6  
   3.420	 534.1  
   3.440	 537.7  
   3.460	 541.4  
   3.480	 544.9  
   3.500	 548.4  
   3.520	 552.3  
   3.540	 555.6  
   3.560	 559.1  
   3.580	 562.8  
   3.600	 566.6  
   3.620	 570.1  
   3.640	 574.0  
   3.660	 577.3  
   3.680	 581.1  
   3.700	 584.5  
   3.720	 587.9  
   3.740	 591.7  
   3.760	 595.0  
   3.780	 598.4  
   3.800	 602.2  
   3.820	 605.6  
   3.840	 609.1  
   3.860	 612.3  
   3.880	 616.0  
   3.900	 619.3  
   3.920	 622.9  
   3.940	 626.2  
   3.960	 629.6  
   3.980	 632.8  
   4.000	 636.3  
   4.020	 639.2  
   4.040	 642.6  
   4.060	 645.9  
   4.080	 649.0  
   4.100	 652.2  
   4.120	 655.1  
   4.140	 658.0  
   4.160	 660.6  
   4.180	 662.9  
   4.200	 665.5  
   4.220	 668.2  
   4.240	 670.7  
   4.260	 673.4  
   4.280	 675.9  
   4.300	 678.8  
   4.320	 680.9  
   4.340	 683.4  
   4.360	 685.7  
   4.380	 687.8  
   4.400	 690.1  
   4.420	 692.4  
   4.440	 694.4  
   4.460	 696.4  
   4.480	 698.3  
   4.500	 700.5  
   4.520	 702.6  
   4.540	 704.8  
   4.560	 706.6  
   4.580	 708.4  
   4.600	 710.7  
   4.620	 712.4  
   4.640	 714.1  
   4.660	 716.1  
   4.680	 717.9  
   4.700	 719.7  
   4.720	 721.4  
   4.740	 723.1  
   4.760	 724.8  
   4.780	 726.5  
   4.800	 727.8  
   4.820	 729.2  
   4.840	 730.3  
   4.860	 731.4  
   4.880	 732.4  
   4.900	 733.2  
   4.920	 734.0  
   4.940	 734.3  
   4.960	 734.3  
   4.980	 732.6  

