deplacement (mm)	charge (N)

       0	  0.3056
 0.02000	  0.4584
 0.04000	   1.070
 0.06000	   1.375
 0.08000	   2.292
  0.1000	   2.903
  0.1200	   3.667
  0.1400	   4.584
  0.1600	   5.348
  0.1800	   6.571
  0.2000	   7.488
  0.2200	   8.405
  0.2400	   9.322
  0.2600	  10.54 
  0.2800	  11.77 
  0.3000	  13.14 
  0.3200	  14.36 
  0.3400	  15.89 
  0.3600	  17.11 
  0.3800	  18.49 
  0.4000	  19.56 
  0.4200	  20.94 
  0.4400	  22.00 
  0.4600	  23.38 
  0.4800	  24.45 
  0.5000	  25.83 
  0.5200	  26.89 
  0.5400	  28.27 
  0.5600	  29.19 
  0.5800	  30.41 
  0.6000	  31.63 
  0.6200	  33.16 
  0.6400	  34.38 
  0.6600	  35.76 
  0.6800	  37.13 
  0.7000	  38.20 
  0.7200	  39.58 
  0.7400	  40.95 
  0.7600	  42.63 
  0.7800	  43.86 
  0.8000	  45.39 
  0.8200	  46.76 
  0.8400	  47.98 
  0.8600	  49.36 
  0.8800	  50.73 
  0.9000	  52.11 
  0.9200	  53.64 
  0.9400	  54.71 
  0.9600	  56.08 
  0.9800	  57.46 
   1.000	  58.68 
   1.020	  59.90 
   1.040	  61.12 
   1.060	  62.50 
   1.080	  63.57 
   1.100	  64.94 
   1.120	  66.32 
   1.140	  67.70 
   1.160	  68.92 
   1.180	  70.14 
   1.200	  71.52 
   1.220	  72.59 
   1.240	  73.50 
   1.260	  74.27 
   1.280	  75.18 
   1.300	  76.56 
   1.320	  77.93 
   1.340	  79.31 
   1.360	  80.68 
   1.380	  82.06 
   1.400	  83.28 
   1.420	  84.81 
   1.440	  86.49 
   1.460	  87.87 
   1.480	  89.55 
   1.500	  91.08 
   1.520	  92.76 
   1.540	  94.28 
   1.560	  95.97 
   1.580	  97.95 
   1.600	  99.48 
   1.620	 101.0  
   1.640	 102.7  
   1.660	 104.2  
   1.680	 106.1  
   1.700	 107.9  
   1.720	 109.7  
   1.740	 111.9  
   1.760	 113.7  
   1.780	 115.7  
   1.800	 117.7  
   1.820	 119.7  
   1.840	 121.8  
   1.860	 123.9  
   1.880	 126.1  
   1.900	 128.2  
   1.920	 130.2  
   1.940	 132.5  
   1.960	 134.9  
   1.980	 137.2  
   2.000	 139.4  
   2.020	 141.5  
   2.040	 144.1  
   2.060	 146.2  
   2.080	 148.7  
   2.100	 151.4  
   2.120	 153.6  
   2.140	 156.0  
   2.160	 158.5  
   2.180	 160.9  
   2.200	 163.5  
   2.220	 166.1  
   2.240	 168.7  
   2.260	 171.3  
   2.280	 173.9  
   2.300	 176.7  
   2.320	 179.1  
   2.340	 181.8  
   2.360	 184.4  
   2.380	 187.0  
   2.400	 189.5  
   2.420	 192.2  
   2.440	 195.3  
   2.460	 197.9  
   2.480	 200.5  
   2.500	 203.2  
   2.520	 206.1  
   2.540	 208.7  
   2.560	 211.3  
   2.580	 213.9  
   2.600	 216.8  
   2.620	 219.6  
   2.640	 222.3  
   2.660	 224.9  
   2.680	 227.8  
   2.700	 230.4  
   2.720	 233.2  
   2.740	 235.9  
   2.760	 238.5  
   2.780	 241.6  
   2.800	 244.3  
   2.820	 247.2  
   2.840	 250.2  
   2.860	 252.6  
   2.880	 255.5  
   2.900	 258.1  
   2.920	 261.3  
   2.940	 264.1  
   2.960	 266.8  
   2.980	 269.4  
   3.000	 272.3  
   3.020	 275.4  
   3.040	 278.0  
   3.060	 280.7  
   3.080	 283.5  
   3.100	 286.4  
   3.120	 289.1  
   3.140	 291.6  
   3.160	 294.3  
   3.180	 297.1  
   3.200	 299.7  
   3.220	 302.4  
   3.240	 305.2  
   3.260	 307.9  
   3.280	 310.4  
   3.300	 313.1  
   3.320	 315.9  
   3.340	 318.5  
   3.360	 321.1  
   3.380	 323.5  
   3.400	 325.9  
   3.420	 328.9  
   3.440	 331.3  
   3.460	 333.9  
   3.480	 336.3  
   3.500	 339.1  
   3.520	 341.5  
   3.540	 344.0  
   3.560	 346.4  
   3.580	 349.2  
   3.600	 351.5  
   3.620	 349.5  
   3.640	 347.8  
   3.660	 347.8  
   3.680	 349.0  
   3.700	 350.6  
   3.720	 352.1  
   3.740	 353.9  
   3.760	 356.1  
   3.780	 358.2  
   3.800	 360.0  
   3.820	 362.0  
   3.840	 364.0  
   3.860	 366.3  
   3.880	 368.1  
   3.900	 370.0  
   3.920	 371.6  
   3.940	 373.6  
   3.960	 375.5  
   3.980	 377.3  
   4.000	 378.8  
   4.020	 380.2  
   4.040	 381.4  
   4.060	 382.6  
   4.080	 383.7  
   4.100	 384.8  
   4.120	 385.8  
   4.140	 387.1  
   4.160	 383.3  
   4.180	 368.0  
   4.200	 358.8  
   4.220	 353.6  
   4.240	 350.7  
   4.260	 349.6  
   4.280	 349.8  
   4.300	 351.0  
   4.320	 352.5  
   4.340	 354.4  
   4.360	 356.5  
   4.380	 359.0  
   4.400	 361.1  
   4.420	 363.4  
   4.440	 365.7  
   4.460	 368.1  
   4.480	 370.3  
   4.500	 372.4  
   4.520	 374.5  
   4.540	 376.7  
   4.560	 378.7  
   4.580	 380.5  
   4.600	 382.3  
   4.620	 384.0  
   4.640	 385.5  
   4.660	 386.9  
   4.680	 388.3  
   4.700	 389.7  
   4.720	 391.0  
   4.740	 392.3  
   4.760	 393.5  
   4.780	 393.8  
   4.800	 391.5  
   4.820	 389.4  
   4.840	 388.3  
   4.860	 387.7  
   4.880	 387.8  
   4.900	 388.1  
   4.920	 388.9  
   4.940	 390.0  
   4.960	 391.2  
   4.980	 392.1  
   5.000	 393.3  
   5.020	 394.6  
   5.040	 395.8  
   5.060	 397.2  
   5.080	 398.2  
   5.100	 399.4  
   5.120	 400.7  
   5.140	 401.6  
   5.160	 402.8  
   5.180	 403.9  
   5.200	 404.8  
   5.220	 405.9  
   5.240	 406.6  
   5.260	 407.4  
   5.280	 408.2  
   5.300	 408.8  
   5.320	 409.4  
   5.340	 409.8  
   5.360	 410.0  
   5.380	 409.7  
   5.400	 409.5  
   5.420	 409.4  
   5.440	 409.1  
   5.460	 408.9  
   5.480	 408.6  
   5.500	 408.8  
   5.520	 409.1  
   5.540	 409.4  
   5.560	 409.7  
   5.580	 410.0  
   5.600	 410.1  
   5.620	 410.5  
   5.640	 410.8  
   5.660	 411.2  
   5.680	 411.5  
   5.700	 412.0  
   5.720	 412.3  
   5.740	 412.4  
   5.760	 412.4  
   5.780	 412.0  
   5.800	 410.0  

