deplacement (mm)	charge (N)

       0	  0.1528
 0.02000	   1.070
 0.04000	   2.292
 0.06000	   3.515
 0.08000	   4.890
  0.1000	   6.112
  0.1200	   7.335
  0.1400	   8.710
  0.1600	   9.933
  0.1800	  11.00 
  0.2000	  11.92 
  0.2200	  13.14 
  0.2400	  14.52 
  0.2600	  15.59 
  0.2800	  16.66 
  0.3000	  18.03 
  0.3200	  18.95 
  0.3400	  20.32 
  0.3600	  21.55 
  0.3800	  22.92 
  0.4000	  24.30 
  0.4200	  25.67 
  0.4400	  27.20 
  0.4600	  28.58 
  0.4800	  30.10 
  0.5000	  31.48 
  0.5200	  33.16 
  0.5400	  34.69 
  0.5600	  36.67 
  0.5800	  38.20 
  0.6000	  39.73 
  0.6200	  41.56 
  0.6400	  43.25 
  0.6600	  44.77 
  0.6800	  46.45 
  0.7000	  47.83 
  0.7200	  49.66 
  0.7400	  50.89 
  0.7600	  52.41 
  0.7800	  53.94 
  0.8000	  55.62 
  0.8200	  57.00 
  0.8400	  58.68 
  0.8600	  60.36 
  0.8800	  62.04 
  0.9000	  63.57 
  0.9200	  65.56 
  0.9400	  66.93 
  0.9600	  68.77 
  0.9800	  70.60 
   1.000	  72.43 
   1.020	  74.11 
   1.040	  76.10 
   1.060	  78.09 
   1.080	  80.07 
   1.100	  82.21 
   1.120	  84.50 
   1.140	  86.80 
   1.160	  88.94 
   1.180	  91.23 
   1.200	  93.52 
   1.220	  95.97 
   1.240	  98.11 
   1.260	 100.6  
   1.280	 102.8  
   1.300	 105.7  
   1.320	 108.3  
   1.340	 110.9  
   1.360	 113.4  
   1.380	 116.1  
   1.400	 118.4  
   1.420	 121.2  
   1.440	 124.1  
   1.460	 126.5  
   1.480	 129.3  
   1.500	 132.2  
   1.520	 135.1  
   1.540	 138.0  
   1.560	 140.9  
   1.580	 143.6  
   1.600	 146.4  
   1.620	 149.3  
   1.640	 152.2  
   1.660	 155.1  
   1.680	 158.2  
   1.700	 161.2  
   1.720	 164.1  
   1.740	 166.9  
   1.760	 169.8  
   1.780	 172.7  
   1.800	 175.9  
   1.820	 178.9  
   1.840	 182.2  
   1.860	 185.2  
   1.880	 188.7  
   1.900	 191.9  
   1.920	 195.0  
   1.940	 198.2  
   1.960	 201.7  
   1.980	 205.1  
   2.000	 208.3  
   2.020	 211.6  
   2.040	 215.3  
   2.060	 218.8  
   2.080	 221.7  
   2.100	 225.1  
   2.120	 228.0  
   2.140	 231.1  
   2.160	 234.3  
   2.180	 237.5  
   2.200	 241.0  
   2.220	 244.0  
   2.240	 247.1  
   2.260	 250.3  
   2.280	 253.8  
   2.300	 257.3  
   2.320	 260.5  
   2.340	 263.8  
   2.360	 267.0  
   2.380	 270.8  
   2.400	 274.1  
   2.420	 277.7  
   2.440	 281.3  
   2.460	 284.8  
   2.480	 288.4  
   2.500	 291.9  
   2.520	 295.4  
   2.540	 298.9  
   2.560	 302.7  
   2.580	 306.1  
   2.600	 309.6  
   2.620	 313.3  
   2.640	 316.8  
   2.660	 320.3  
   2.680	 324.0  
   2.700	 327.5  
   2.720	 331.3  
   2.740	 334.8  
   2.760	 338.3  
   2.780	 342.0  
   2.800	 345.7  
   2.820	 349.2  
   2.840	 352.7  
   2.860	 356.4  
   2.880	 360.3  
   2.900	 363.7  
   2.920	 367.5  
   2.940	 371.2  
   2.960	 374.7  
   2.980	 378.2  
   3.000	 381.7  
   3.020	 385.8  
   3.040	 389.5  
   3.060	 392.9  
   3.080	 395.6  
   3.100	 398.8  
   3.120	 402.2  
   3.140	 405.9  
   3.160	 409.5  
   3.180	 413.1  
   3.200	 416.6  
   3.220	 420.4  
   3.240	 423.6  
   3.260	 427.6  
   3.280	 431.1  
   3.300	 434.7  
   3.320	 438.3  
   3.340	 441.9  
   3.360	 445.6  
   3.380	 449.4  
   3.400	 452.9  
   3.420	 456.6  
   3.440	 460.1  
   3.460	 463.8  
   3.480	 467.1  
   3.500	 471.0  
   3.520	 474.0  
   3.540	 477.8  
   3.560	 481.4  
   3.580	 485.2  
   3.600	 488.7  
   3.620	 491.9  
   3.640	 495.3  
   3.660	 498.9  
   3.680	 502.4  
   3.700	 505.8  
   3.720	 509.2  
   3.740	 513.0  
   3.760	 516.5  
   3.780	 520.0  
   3.800	 523.2  
   3.820	 526.4  
   3.840	 529.6  
   3.860	 532.9  
   3.880	 536.4  
   3.900	 539.6  
   3.920	 542.9  
   3.940	 546.5  
   3.960	 549.8  
   3.980	 553.0  
   4.000	 556.2  
   4.020	 559.4  
   4.040	 559.1  

