deplacement (mm)	charge (N)

       0	       0
 0.02000	  0.9169
 0.04000	   2.139
 0.06000	   2.903
 0.08000	   3.667
  0.1000	   4.279
  0.1200	   5.043
  0.1400	   5.960
  0.1600	   7.029
  0.1800	   8.252
  0.2000	   9.169
  0.2200	  10.09 
  0.2400	  11.00 
  0.2600	  12.22 
  0.2800	  13.29 
  0.3000	  14.36 
  0.3200	  15.43 
  0.3400	  16.50 
  0.3600	  18.03 
  0.3800	  19.10 
  0.4000	  20.32 
  0.4200	  21.39 
  0.4400	  22.62 
  0.4600	  23.69 
  0.4800	  24.76 
  0.5000	  25.98 
  0.5200	  26.89 
  0.5400	  27.96 
  0.5600	  29.19 
  0.5800	  29.95 
  0.6000	  31.17 
  0.6200	  32.24 
  0.6400	  33.31 
  0.6600	  34.38 
  0.6800	  35.61 
  0.7000	  36.67 
  0.7200	  38.20 
  0.7400	  39.12 
  0.7600	  40.04 
  0.7800	  41.26 
  0.8000	  42.33 
  0.8200	  43.40 
  0.8400	  44.62 
  0.8600	  45.69 
  0.8800	  47.07 
  0.9000	  47.98 
  0.9200	  49.21 
  0.9400	  50.43 
  0.9600	  51.50 
  0.9800	  52.72 
   1.000	  53.94 
   1.020	  55.17 
   1.040	  56.69 
   1.060	  57.92 
   1.080	  58.99 
   1.100	  60.51 
   1.120	  62.04 
   1.140	  63.26 
   1.160	  64.79 
   1.180	  66.63 
   1.200	  68.31 
   1.220	  69.68 
   1.240	  71.36 
   1.260	  72.89 
   1.280	  74.42 
   1.300	  76.25 
   1.320	  78.09 
   1.340	  79.92 
   1.360	  81.60 
   1.380	  83.44 
   1.400	  85.27 
   1.420	  87.10 
   1.440	  88.94 
   1.460	  90.92 
   1.480	  92.91 
   1.500	  94.74 
   1.520	  96.27 
   1.540	  97.95 
   1.560	 100.1  
   1.580	 101.9  
   1.600	 103.9  
   1.620	 105.7  
   1.640	 107.6  
   1.660	 109.7  
   1.680	 111.7  
   1.700	 114.0  
   1.720	 116.0  
   1.740	 118.4  
   1.760	 120.3  
   1.780	 122.4  
   1.800	 124.5  
   1.820	 126.8  
   1.840	 129.3  
   1.860	 131.6  
   1.880	 133.9  
   1.900	 136.3  
   1.920	 138.4  
   1.940	 140.4  
   1.960	 143.0  
   1.980	 145.3  
   2.000	 147.8  
   2.020	 149.8  
   2.040	 152.7  
   2.060	 154.8  
   2.080	 157.2  
   2.100	 159.8  
   2.120	 162.1  
   2.140	 164.6  
   2.160	 167.2  
   2.180	 169.6  
   2.200	 171.9  
   2.220	 174.2  
   2.240	 177.0  
   2.260	 179.4  
   2.280	 181.8  
   2.300	 184.1  
   2.320	 186.6  
   2.340	 189.0  
   2.360	 191.3  
   2.380	 194.1  
   2.400	 196.7  
   2.420	 199.1  
   2.440	 201.7  
   2.460	 204.2  
   2.480	 206.8  
   2.500	 209.2  
   2.520	 212.1  
   2.540	 214.7  
   2.560	 217.1  
   2.580	 219.9  
   2.600	 222.6  
   2.620	 225.2  
   2.640	 227.8  
   2.660	 230.4  
   2.680	 233.2  
   2.700	 235.8  
   2.720	 238.8  
   2.740	 241.4  
   2.760	 244.2  
   2.780	 246.8  
   2.800	 249.4  
   2.820	 252.0  
   2.840	 254.6  
   2.860	 257.5  
   2.880	 260.1  
   2.900	 263.1  
   2.920	 265.7  
   2.940	 268.3  
   2.960	 270.9  
   2.980	 273.5  
   3.000	 276.3  
   3.020	 278.7  
   3.040	 281.8  
   3.060	 284.2  
   3.080	 286.8  
   3.100	 289.7  
   3.120	 292.5  
   3.140	 294.9  
   3.160	 297.7  
   3.180	 300.6  
   3.200	 303.2  
   3.220	 305.9  
   3.240	 308.7  
   3.260	 311.4  
   3.280	 314.3  
   3.300	 316.9  
   3.320	 319.5  
   3.340	 322.1  
   3.360	 324.9  
   3.380	 327.5  
   3.400	 330.1  
   3.420	 332.7  
   3.440	 335.6  
   3.460	 338.2  
   3.480	 340.8  
   3.500	 343.4  
   3.520	 346.1  
   3.540	 348.7  
   3.560	 351.5  
   3.580	 354.1  
   3.600	 356.8  
   3.620	 359.4  
   3.640	 362.2  
   3.660	 364.6  
   3.680	 367.4  
   3.700	 370.1  
   3.720	 372.9  
   3.740	 375.6  
   3.760	 378.2  
   3.780	 381.0  
   3.800	 383.6  
   3.820	 386.0  
   3.840	 388.4  
   3.860	 391.4  
