deplacement (mm)	charge (N)

       0	   1.528
 0.02000	   3.209
 0.04000	   4.890
 0.06000	   6.571
 0.08000	   8.252
  0.1000	   9.780
  0.1200	  11.46 
  0.1400	  12.84 
  0.1600	  14.52 
  0.1800	  15.74 
  0.2000	  16.96 
  0.2200	  18.49 
  0.2400	  20.32 
  0.2600	  22.00 
  0.2800	  23.99 
  0.3000	  25.67 
  0.3200	  27.66 
  0.3400	  29.34 
  0.3600	  31.48 
  0.3800	  33.31 
  0.4000	  35.15 
  0.4200	  36.98 
  0.4400	  38.66 
  0.4600	  40.34 
  0.4800	  41.87 
  0.5000	  43.55 
  0.5200	  45.23 
  0.5400	  46.91 
  0.5600	  48.29 
  0.5800	  50.28 
  0.6000	  52.11 
  0.6200	  53.94 
  0.6400	  55.93 
  0.6600	  57.76 
  0.6800	  59.60 
  0.7000	  61.43 
  0.7200	  63.42 
  0.7400	  65.25 
  0.7600	  67.39 
  0.7800	  69.38 
  0.8000	  71.52 
  0.8200	  73.81 
  0.8400	  75.95 
  0.8600	  78.39 
  0.8800	  80.68 
  0.9000	  82.98 
  0.9200	  85.12 
  0.9400	  87.56 
  0.9600	  90.31 
  0.9800	  92.91 
   1.000	  95.51 
   1.020	  98.26 
   1.040	 100.9  
   1.060	 103.6  
   1.080	 106.4  
   1.100	 109.1  
   1.120	 112.5  
   1.140	 115.4  
   1.160	 118.9  
   1.180	 122.2  
   1.200	 125.6  
   1.220	 129.3  
   1.240	 132.8  
   1.260	 136.9  
   1.280	 140.1  
   1.300	 143.5  
   1.320	 147.3  
   1.340	 151.3  
   1.360	 155.1  
   1.380	 159.1  
   1.400	 163.7  
   1.420	 167.9  
   1.440	 172.2  
   1.460	 176.7  
   1.480	 181.7  
   1.500	 186.1  
   1.520	 190.9  
   1.540	 195.8  
   1.560	 201.3  
   1.580	 206.3  
   1.600	 211.6  
   1.620	 216.8  
   1.640	 222.5  
   1.660	 228.0  
   1.680	 233.3  
   1.700	 238.8  
   1.720	 244.8  
   1.740	 250.6  
   1.760	 256.4  
   1.780	 262.2  
   1.800	 268.6  
   1.820	 274.8  
   1.840	 280.6  
   1.860	 286.5  
   1.880	 292.9  
   1.900	 299.4  
   1.920	 305.6  
   1.940	 311.9  
   1.960	 318.5  
   1.980	 325.5  
   2.000	 332.2  
   2.020	 339.4  
   2.040	 346.3  
   2.060	 353.1  
   2.080	 360.3  
   2.100	 367.1  
   2.120	 374.7  
   2.140	 381.7  
   2.160	 388.9  
   2.180	 396.1  
   2.200	 403.9  
   2.220	 411.1  
   2.240	 418.2  
   2.260	 426.0  
   2.280	 434.0  
   2.300	 441.5  
   2.320	 449.1  
   2.340	 456.6  
   2.360	 465.2  
   2.380	 473.0  
   2.400	 480.9  
   2.420	 488.8  
   2.440	 497.1  
   2.460	 505.8  
   2.480	 513.8  
   2.500	 521.9  
   2.520	 530.7  
   2.540	 539.1  
   2.560	 546.8  
   2.580	 555.5  
   2.600	 564.0  
   2.620	 573.5  
   2.640	 582.2  
   2.660	 591.1  
   2.680	 600.4  
   2.700	 609.3  
   2.720	 618.1  
   2.740	 627.0  
   2.760	 636.0  
   2.780	 645.2  
   2.800	 655.1  
   2.820	 664.1  
   2.840	 673.3  
   2.860	 682.6  
   2.880	 692.5  
   2.900	 702.0  
   2.920	 711.3  
   2.940	 721.0  
   2.960	 731.4  
   2.980	 740.8  
   3.000	 750.3  
   3.020	 759.9  
   3.040	 770.5  
   3.060	 780.3  
   3.080	 790.2  
   3.100	 800.7  
   3.120	 810.7  
   3.140	 820.4  
   3.160	 830.2  
   3.180	 840.8  
   3.200	 850.7  
   3.220	 860.8  
   3.240	 870.9  
   3.260	 881.0  
   3.280	 892.0  
   3.300	 902.4  
   3.320	 912.6  
   3.340	 923.0  
   3.360	 934.1  
   3.380	 944.5  
   3.400	 954.8  
   3.420	 965.5  
   3.440	 976.0  
   3.460	 987.3  
   3.480	 997.9  
   3.500	1009    
   3.520	1020    
   3.540	1030    
   3.560	1041    
   3.580	1051    
   3.600	1063    
   3.620	1074    
   3.640	1084    
   3.660	1095    
   3.680	1107    
   3.700	1118    
   3.720	1127    
   3.740	1139    
   3.760	1151    
   3.780	1163    
   3.800	1174    
   3.820	1186    
   3.840	1197    
   3.860	1208    
   3.880	1220    
   3.900	1231    
   3.920	1242    
   3.940	1253    
   3.960	1265    
   3.980	1276    
   4.000	1287    
   4.020	1298    
   4.040	1310    
   4.060	1321    
   4.080	1332    
   4.100	1343    
   4.120	1355    
   4.140	1367    
   4.160	1378    
   4.180	1390    
   4.200	1401    
   4.220	1413    
   4.240	1424    
   4.260	1436    
   4.280	1448    
   4.300	1459    
   4.320	1470    
   4.340	1483    
   4.360	1494    
   4.380	1505    
   4.400	1517    
   4.420	1529    
   4.440	1541    
   4.460	1552    
   4.480	1564    
   4.500	1576    
   4.520	1588    
   4.540	1600    
   4.560	1612    
   4.580	1624    
   4.600	1636    
   4.620	1648    
   4.640	1660    
   4.660	1672    
   4.680	1684    
   4.700	1696    
   4.720	1708    
   4.740	1719    
   4.760	1732    
   4.780	1744    
   4.800	1756    
   4.820	1768    
   4.840	1779    
   4.860	1791    
   4.880	1803    
   4.900	1816    
   4.920	1827    
   4.940	1839    
   4.960	1851    
   4.980	1863    
   5.000	1875    
   5.020	1886    
   5.040	1899    
   5.060	1911    
   5.080	1923    
   5.100	1934    
   5.120	1947    
   5.140	1958    
   5.160	1970    
   5.180	1982    
   5.200	1994    
   5.220	2006    
   5.240	2018    
   5.260	2029    
   5.280	2042    
   5.300	2054    
   5.320	2065    
   5.340	2077    
   5.360	2089    
   5.380	2102    
   5.400	2114    
   5.420	2126    
   5.440	2138    
   5.460	2150    
   5.480	2162    
   5.500	2173    
   5.520	2186    
   5.540	2197    
   5.560	2209    
   5.580	2221    
   5.600	2232    
   5.620	2245    
   5.640	2256    
   5.660	2268    
   5.680	2279    
   5.700	2291    
   5.720	2302    
   5.740	2313    
   5.760	2325    
   5.780	2336    
   5.800	2348    
   5.820	2359    
   5.840	2369    
   5.860	2380    
   5.880	2391    
   5.900	2402    
   5.920	2413    
   5.940	2424    
   5.960	2434    
   5.980	2445    
   6.000	2455    
   6.020	2459    

