deplacement (mm)	charge (N)

       0	  0.6112
 0.02000	   1.528
 0.04000	   2.598
 0.06000	   3.820
 0.08000	   5.196
  0.1000	   6.265
  0.1200	   7.182
  0.1400	   8.099
  0.1600	   9.016
  0.1800	   9.780
  0.2000	  10.70 
  0.2200	  11.46 
  0.2400	  12.07 
  0.2600	  13.14 
  0.2800	  14.06 
  0.3000	  15.28 
  0.3200	  16.50 
  0.3400	  17.73 
  0.3600	  19.41 
  0.3800	  20.63 
  0.4000	  21.85 
  0.4200	  23.07 
  0.4400	  24.76 
  0.4600	  25.98 
  0.4800	  27.35 
  0.5000	  29.03 
  0.5200	  30.26 
  0.5400	  31.78 
  0.5600	  33.31 
  0.5800	  34.69 
  0.6000	  36.37 
  0.6200	  37.90 
  0.6400	  39.43 
  0.6600	  40.95 
  0.6800	  42.18 
  0.7000	  43.55 
  0.7200	  45.08 
  0.7400	  46.76 
  0.7600	  48.29 
  0.7800	  49.51 
  0.8000	  51.04 
  0.8200	  52.72 
  0.8400	  54.10 
  0.8600	  55.47 
  0.8800	  57.00 
  0.9000	  58.37 
  0.9200	  59.90 
  0.9400	  61.43 
  0.9600	  62.96 
  0.9800	  64.33 
   1.000	  65.86 
   1.020	  67.54 
   1.040	  69.07 
   1.060	  70.45 
   1.080	  72.13 
   1.100	  73.66 
   1.120	  75.18 
   1.140	  76.86 
   1.160	  78.55 
   1.180	  80.23 
   1.200	  82.06 
   1.220	  83.59 
   1.240	  85.73 
   1.260	  87.56 
   1.280	  89.70 
   1.300	  91.84 
   1.320	  94.13 
   1.340	  96.12 
   1.360	  98.11 
   1.380	 100.1  
   1.400	 102.2  
   1.420	 104.4  
   1.440	 106.5  
   1.460	 109.0  
   1.480	 111.2  
   1.500	 113.5  
   1.520	 116.0  
   1.540	 118.4  
   1.560	 121.0  
   1.580	 123.5  
   1.600	 125.9  
   1.620	 128.7  
   1.640	 131.3  
   1.660	 133.9  
   1.680	 136.6  
   1.700	 139.2  
   1.720	 142.1  
   1.740	 144.9  
   1.760	 147.8  
   1.780	 150.7  
   1.800	 153.6  
   1.820	 156.5  
   1.840	 159.4  
   1.860	 162.3  
   1.880	 165.2  
   1.900	 168.1  
   1.920	 171.3  
   1.940	 174.2  
   1.960	 177.1  
   1.980	 180.3  
   2.000	 183.4  
   2.020	 186.6  
   2.040	 189.9  
   2.060	 192.7  
   2.080	 196.2  
   2.100	 199.3  
   2.120	 202.5  
   2.140	 205.7  
   2.160	 209.2  
   2.180	 212.4  
   2.200	 215.6  
   2.220	 219.1  
   2.240	 222.5  
   2.260	 225.7  
   2.280	 229.1  
   2.300	 232.4  
   2.320	 235.9  
   2.340	 239.5  
   2.360	 243.3  
   2.380	 246.5  
   2.400	 250.0  
   2.420	 253.4  
   2.440	 256.6  
   2.460	 260.2  
   2.480	 263.8  
   2.500	 267.3  
   2.520	 270.9  
   2.540	 274.4  
   2.560	 278.0  
   2.580	 281.6  
   2.600	 285.5  
   2.620	 289.1  
   2.640	 292.6  
   2.660	 296.3  
   2.680	 300.3  
   2.700	 303.9  
   2.720	 307.8  
   2.740	 311.7  
   2.760	 315.6  
   2.780	 319.2  
   2.800	 322.9  
   2.820	 326.7  
   2.840	 330.7  
   2.860	 334.0  
   2.880	 337.7  
   2.900	 341.7  
   2.920	 345.4  
   2.940	 349.0  
   2.960	 352.8  
   2.980	 356.5  
   3.000	 360.5  
   3.020	 364.2  
   3.040	 367.8  
   3.060	 371.8  
   3.080	 375.5  
   3.100	 379.0  
   3.120	 382.9  
   3.140	 386.3  
   3.160	 390.3  
   3.180	 393.8  
   3.200	 397.3  
   3.220	 401.4  
   3.240	 405.1  
   3.260	 408.8  
   3.280	 412.3  
   3.300	 416.1  
   3.320	 419.6  
   3.340	 423.0  
   3.360	 426.7  
   3.380	 430.2  
   3.400	 433.8  
   3.420	 437.3  
   3.440	 440.4  
   3.460	 443.8  
   3.480	 447.6  
   3.500	 450.9  
   3.520	 454.2  
   3.540	 457.5  
   3.560	 460.7  
   3.580	 464.1  
   3.600	 467.3  
   3.620	 470.4  
   3.640	 473.6  
   3.660	 476.9  
   3.680	 480.0  
   3.700	 483.3  
   3.720	 486.6  
   3.740	 490.1  
   3.760	 493.0  
   3.780	 496.2  
   3.800	 499.4  
   3.820	 502.8  
   3.840	 505.8  
   3.860	 509.0  
   3.880	 512.2  
   3.900	 515.1  
   3.920	 518.2  
   3.940	 521.2  
   3.960	 524.3  
   3.980	 527.5  
   4.000	 530.4  
   4.020	 533.0  
   4.040	 535.8  
   4.060	 538.7  
   4.080	 541.4  
   4.100	 544.2  
   4.120	 546.9  
   4.140	 549.8  
   4.160	 552.9  
   4.180	 555.3  
   4.200	 557.9  
   4.220	 560.4  
   4.240	 563.0  
   4.260	 565.4  
   4.280	 567.8  
   4.300	 570.0  
   4.320	 572.4  
   4.340	 574.0  
   4.360	 572.4  

