deplacement (mm);charge (N)
   5.720; 595.0  
   5.740; 596.3  
   5.760; 597.3  
   5.780; 598.7  
   5.800; 599.8  
   5.820; 601.0  
   5.840; 601.9  
   5.860; 603.1  
   5.880; 604.4  
   5.900; 605.7  
   5.920; 606.7  
   5.940; 608.0  
   5.960; 609.1  
   5.980; 610.2  
   6.000; 611.2  
   6.020; 612.0  
   6.040; 613.1  
   6.060; 613.8  
   6.080; 614.5  
   6.100; 615.2  
   6.120; 616.1  
   6.140; 616.9  
   6.160; 617.8  
   6.180; 618.7  
   6.200; 619.3  
   6.220; 620.3  
   6.240; 621.2  
   6.260; 621.8  
   6.280; 622.6  
   6.300; 623.5  
   6.320; 624.2  
   6.340; 625.0  
   6.360; 626.1  
   6.380; 626.7  
   6.400; 627.4  
   6.420; 628.4  
   6.440; 629.1  
   6.460; 630.0  
   6.480; 630.8  
   6.500; 631.4  
   6.520; 631.9  
   6.540; 632.8  
   6.560; 633.6  
   6.580; 634.2  
   6.600; 634.8  
   6.620; 635.4  
   6.640; 636.2  
   6.660; 636.8  
   6.680; 636.9  
   6.700; 637.2  
   6.720; 637.4  
   6.740; 637.5  
   6.760; 638.0  
   6.780; 638.1  
   6.800; 638.8  
   6.820; 639.4  
   6.840; 639.8  
   6.860; 639.8  
   6.880; 639.5  
   6.900; 639.1  
   6.920; 638.6  
   6.940; 638.3  
