deplacement (mm);charge (N)
;
0;  0.4584
 0.02000;   1.222
 0.04000;   1.987
 0.06000;   2.751
 0.08000;   3.820
  0.1000;   4.584
  0.1200;   5.807
  0.1400;   6.724
  0.1600;   7.641
  0.1800;   8.405
  0.2000;   9.322
  0.2200;  10.09 
  0.2400;  10.85 
  0.2600;  11.92 
  0.2800;  13.29 
  0.3000;  14.21 
  0.3200;  15.43 
  0.3400;  16.35 
  0.3600;  17.88 
  0.3800;  18.95 
  0.4000;  20.02 
  0.4200;  21.09 
  0.4400;  22.31 
  0.4600;  23.38 
  0.4800;  24.60 
  0.5000;  25.83 
  0.5200;  26.89 
  0.5400;  28.12 
  0.5600;  29.34 
  0.5800;  30.56 
  0.6000;  32.09 
  0.6200;  33.31 
  0.6400;  34.84 
  0.6600;  36.37 
  0.6800;  37.74 
  0.7000;  39.27 
  0.7200;  40.80 
  0.7400;  42.33 
  0.7600;  44.01 
  0.7800;  45.54 
  0.8000;  46.91 
  0.8200;  48.44 
  0.8400;  49.51 
  0.8600;  51.19 
  0.8800;  52.57 
  0.9000;  54.10 
  0.9200;  55.47 
  0.9400;  56.85 
  0.9600;  58.68 
  0.9800;  60.21 
   1.000;  61.74 
   1.020;  63.42 
   1.040;  64.79 
   1.060;  66.17 
   1.080;  68.00 
   1.100;  69.53 
   1.120;  71.21 
   1.140;  72.89 
   1.160;  75.18 
   1.180;  76.71 
   1.200;  78.70 
   1.220;  80.53 
   1.240;  82.37 
   1.260;  84.50 
   1.280;  86.80 
   1.300;  88.94 
   1.320;  91.08 
   1.340;  93.06 
   1.360;  94.90 
   1.380;  97.04 
   1.400;  99.02 
   1.420; 101.0  
   1.440; 103.3  
   1.460; 105.3  
   1.480; 107.6  
   1.500; 109.7  
   1.520; 111.9  
   1.540; 114.3  
   1.560; 116.7  
   1.580; 118.9  
   1.600; 121.3  
   1.620; 123.8  
   1.640; 126.4  
   1.660; 128.8  
   1.680; 131.3  
   1.700; 133.7  
   1.720; 136.5  
   1.740; 139.1  
   1.760; 141.5  
   1.780; 144.3  
   1.800; 146.9  
   1.820; 149.9  
   1.840; 152.8  
   1.860; 155.6  
   1.880; 158.2  
   1.900; 160.9  
   1.920; 164.0  
   1.940; 166.7  
   1.960; 169.6  
   1.980; 172.7  
   2.000; 175.6  
   2.020; 178.8  
   2.040; 181.8  
   2.060; 185.2  
   2.080; 188.3  
   2.100; 191.2  
   2.120; 194.2  
   2.140; 197.3  
   2.160; 200.6  
   2.180; 203.7  
   2.200; 206.8  
   2.220; 209.7  
   2.240; 213.0  
   2.260; 216.2  
   2.280; 219.3  
   2.300; 222.5  
   2.320; 226.0  
   2.340; 229.1  
   2.360; 232.3  
   2.380; 235.3  
   2.400; 239.0  
   2.420; 242.2  
   2.440; 245.7  
   2.460; 249.1  
   2.480; 252.4  
   2.500; 256.3  
   2.520; 259.6  
   2.540; 263.0  
   2.560; 266.7  
   2.580; 270.2  
   2.600; 273.7  
   2.620; 276.9  
   2.640; 280.3  
   2.660; 283.6  
   2.680; 287.3  
   2.700; 290.6  
   2.720; 294.0  
   2.740; 298.1  
   2.760; 301.5  
   2.780; 305.2  
   2.800; 308.5  
   2.820; 312.7  
   2.840; 316.0  
   2.860; 319.7  
   2.880; 323.5  
   2.900; 327.2  
   2.920; 330.8  
   2.940; 334.4  
   2.960; 337.9  
   2.980; 342.0  
   3.000; 345.5  
   3.020; 349.2  
   3.040; 352.7  
   3.060; 356.2  
   3.080; 360.0  
   3.100; 363.7  
   3.120; 367.4  
   3.140; 371.2  
   3.160; 374.7  
   3.180; 378.4  
   3.200; 382.0  
   3.220; 385.8  
   3.240; 389.4  
   3.260; 392.9  
   3.280; 396.5  
   3.300; 400.4  
   3.320; 404.2  
   3.340; 407.9  
   3.360; 411.4  
   3.380; 415.0  
   3.400; 418.7  
   3.420; 422.2  
   3.440; 425.9  
   3.460; 429.2  
   3.480; 432.9  
   3.500; 436.7  
   3.520; 440.3  
   3.540; 444.1  
   3.560; 447.6  
   3.580; 450.8  
   3.600; 454.3  
   3.620; 457.8  
   3.640; 461.6  
   3.660; 465.0  
   3.680; 468.4  
   3.700; 472.2  
   3.720; 475.6  
   3.740; 479.1  
   3.760; 482.6  
   3.780; 485.8  
   3.800; 489.3  
   3.820; 492.7  
   3.840; 496.0  
   3.860; 499.2  
   3.880; 502.6  
   3.900; 505.8  
   3.920; 509.0  
   3.940; 512.1  
   3.960; 515.6  
   3.980; 518.6  
   4.000; 521.7  
   4.020; 524.9  
   4.040; 527.8  
   4.060; 531.0  
   4.080; 533.6  
   4.100; 536.8  
   4.120; 539.9  
   4.140; 542.8  
   4.160; 545.8  
   4.180; 549.1  
   4.200; 552.0  
   4.220; 554.7  
   4.240; 557.8  
   4.260; 561.0  
   4.280; 563.9  
   4.300; 566.8  
   4.320; 569.7  
   4.340; 572.4  
   4.360; 575.2  
   4.380; 577.9  
   4.400; 580.7  
   4.420; 583.1  
   4.440; 585.9  
   4.460; 588.6  
   4.480; 591.4  
   4.500; 593.7  
   4.520; 596.1  
   4.540; 598.4  
   4.560; 601.0  
   4.580; 603.3  
   4.600; 605.7  
   4.620; 608.0  
   4.640; 610.8  
   4.660; 612.9  
   4.680; 615.5  
   4.700; 617.7  
   4.720; 619.7  
   4.740; 621.6  
   4.760; 623.6  
   4.780; 625.6  
   4.800; 627.4  
   4.820; 629.0  
   4.840; 630.7  
   4.860; 629.3  
