deplacement (mm);charge (N)
;
0;0
 0.02000;  0.3056
 0.04000;  0.7641
 0.06000;   1.070
 0.08000;   1.222
  0.1000;   1.681
  0.1200;   2.292
  0.1400;   2.751
  0.1600;   3.362
  0.1800;   4.126
  0.2000;   4.890
  0.2200;   5.807
  0.2400;   6.571
  0.2600;   7.793
  0.2800;   8.863
  0.3000;   9.474
  0.3200;  10.54 
  0.3400;  11.46 
  0.3600;  12.07 
  0.3800;  13.14 
  0.4000;  14.06 
  0.4200;  14.67 
  0.4400;  15.74 
  0.4600;  16.66 
  0.4800;  17.88 
  0.5000;  18.95 
  0.5200;  20.17 
  0.5400;  21.24 
  0.5600;  22.62 
  0.5800;  23.53 
  0.6000;  24.60 
  0.6200;  25.67 
  0.6400;  26.59 
  0.6600;  27.66 
  0.6800;  28.73 
  0.7000;  29.95 
  0.7200;  31.17 
  0.7400;  32.40 
  0.7600;  33.47 
  0.7800;  34.84 
  0.8000;  35.91 
  0.8200;  37.29 
  0.8400;  38.51 
  0.8600;  39.88 
  0.8800;  41.11 
  0.9000;  42.48 
  0.9200;  43.70 
  0.9400;  45.23 
  0.9600;  46.61 
  0.9800;  47.83 
   1.000;  49.36 
   1.020;  50.73 
   1.040;  52.11 
   1.060;  53.64 
   1.080;  54.86 
   1.100;  56.39 
   1.120;  57.76 
   1.140;  59.14 
   1.160;  60.51 
   1.180;  62.04 
   1.200;  63.42 
   1.220;  64.64 
   1.240;  65.86 
   1.260;  67.39 
   1.280;  68.61 
   1.300;  69.68 
   1.320;  71.06 
   1.340;  72.28 
   1.360;  73.50 
   1.380;  74.72 
   1.400;  75.95 
   1.420;  77.32 
   1.440;  78.85 
   1.460;  80.38 
   1.480;  81.91 
   1.500;  83.59 
   1.520;  85.12 
   1.540;  86.49 
   1.560;  88.17 
   1.580;  89.70 
   1.600;  91.38 
   1.620;  92.15 
   1.640;  92.91 
   1.660;  94.28 
   1.680;  95.97 
   1.700;  97.49 
   1.720;  99.17 
   1.740; 100.7  
   1.760; 102.4  
   1.780; 104.4  
   1.800; 106.4  
   1.820; 108.5  
   1.840; 110.6  
   1.860; 112.9  
   1.880; 114.9  
   1.900; 116.7  
   1.920; 119.0  
   1.940; 121.0  
   1.960; 123.2  
   1.980; 125.2  
   2.000; 127.4  
   2.020; 129.4  
   2.040; 132.0  
   2.060; 134.2  
   2.080; 136.5  
   2.100; 138.8  
   2.120; 140.9  
   2.140; 143.2  
   2.160; 145.5  
   2.180; 147.8  
   2.200; 149.6  
   2.220; 152.0  
   2.240; 154.2  
   2.260; 156.5  
   2.280; 158.5  
   2.300; 160.9  
   2.320; 163.2  
   2.340; 165.5  
   2.360; 167.5  
   2.380; 169.6  
   2.400; 171.6  
   2.420; 173.6  
   2.440; 175.9  
   2.460; 178.2  
   2.480; 180.5  
   2.500; 182.8  
   2.520; 185.1  
   2.540; 187.2  
   2.560; 189.8  
   2.580; 192.1  
   2.600; 194.5  
   2.620; 197.1  
   2.640; 200.0  
   2.660; 202.6  
   2.680; 205.4  
   2.700; 208.0  
   2.720; 211.0  
   2.740; 213.6  
   2.760; 216.2  
   2.780; 219.1  
   2.800; 221.9  
   2.820; 224.6  
   2.840; 227.4  
   2.860; 230.6  
   2.880; 233.3  
   2.900; 235.6  
   2.920; 238.4  
   2.940; 241.1  
   2.960; 243.7  
   2.980; 246.8  
   3.000; 250.0  
   3.020; 252.8  
   3.040; 255.7  
   3.060; 259.0  
   3.080; 261.9  
   3.100; 265.0  
   3.120; 268.2  
   3.140; 271.9  
   3.160; 275.1  
   3.180; 278.6  
   3.200; 282.1  
   3.220; 285.5  
   3.240; 288.8  
   3.260; 292.2  
   3.280; 295.8  
   3.300; 299.2  
   3.320; 302.4  
   3.340; 306.2  
   3.360; 309.4  
   3.380; 312.8  
   3.400; 316.3  
   3.420; 320.1  
   3.440; 323.5  
   3.460; 326.9  
   3.480; 330.5  
   3.500; 334.4  
   3.520; 337.6  
   3.540; 341.1  
   3.560; 344.9  
   3.580; 348.6  
   3.600; 352.2  
   3.620; 356.1  
   3.640; 359.6  
   3.660; 363.1  
   3.680; 366.4  
   3.700; 370.0  
   3.720; 373.5  
   3.740; 377.3  
   3.760; 381.0  
   3.780; 384.6  
   3.800; 388.1  
   3.820; 392.1  
   3.840; 395.6  
   3.860; 399.1  
   3.880; 402.8  
