deplacement (mm);charge (N)
;
0;  0.7641
 0.02000;   2.292
 0.04000;   3.515
 0.06000;   4.890
 0.08000;   6.571
  0.1000;   7.946
  0.1200;   9.169
  0.1400;  10.54 
  0.1600;  12.22 
  0.1800;  13.75 
  0.2000;  15.43 
  0.2200;  17.27 
  0.2400;  18.80 
  0.2600;  20.48 
  0.2800;  22.16 
  0.3000;  24.14 
  0.3200;  25.98 
  0.3400;  27.66 
  0.3600;  29.65 
  0.3800;  31.33 
  0.4000;  33.16 
  0.4200;  34.69 
  0.4400;  36.52 
  0.4600;  38.20 
  0.4800;  39.58 
  0.5000;  41.11 
  0.5200;  42.63 
  0.5400;  44.16 
  0.5600;  45.69 
  0.5800;  47.22 
  0.6000;  49.05 
  0.6200;  50.58 
  0.6400;  52.26 
  0.6600;  53.79 
  0.6800;  55.62 
  0.7000;  57.00 
  0.7200;  58.53 
  0.7400;  60.36 
  0.7600;  62.50 
  0.7800;  64.33 
  0.8000;  66.32 
  0.8200;  68.31 
  0.8400;  70.45 
  0.8600;  72.43 
  0.8800;  74.72 
  0.9000;  76.86 
  0.9200;  79.31 
  0.9400;  81.45 
  0.9600;  83.89 
  0.9800;  86.49 
   1.000;  89.09 
   1.020;  91.69 
   1.040;  94.44 
   1.060;  97.19 
   1.080;  99.63 
   1.100; 102.1  
   1.120; 104.8  
   1.140; 107.6  
   1.160; 110.2  
   1.180; 112.9  
   1.200; 116.0  
   1.220; 119.0  
   1.240; 122.2  
   1.260; 125.6  
   1.280; 129.1  
   1.300; 133.1  
   1.320; 136.8  
   1.340; 140.4  
   1.360; 144.1  
   1.380; 147.5  
   1.400; 151.0  
   1.420; 154.6  
   1.440; 158.6  
   1.460; 163.1  
   1.480; 167.0  
   1.500; 171.3  
   1.520; 175.9  
   1.540; 180.3  
   1.560; 184.7  
   1.580; 189.3  
   1.600; 194.4  
   1.620; 198.8  
   1.640; 203.4  
   1.660; 208.1  
   1.680; 212.9  
   1.700; 218.1  
   1.720; 223.1  
   1.740; 228.0  
   1.760; 233.2  
   1.780; 238.4  
   1.800; 244.2  
   1.820; 249.5  
   1.840; 255.0  
   1.860; 260.5  
   1.880; 266.4  
   1.900; 271.7  
   1.920; 277.5  
   1.940; 283.2  
   1.960; 289.1  
   1.980; 295.1  
   2.000; 301.0  
   2.020; 307.0  
   2.040; 312.8  
   2.060; 319.7  
   2.080; 326.1  
   2.100; 332.4  
   2.120; 338.9  
   2.140; 345.4  
   2.160; 351.5  
   2.180; 358.0  
   2.200; 365.1  
   2.220; 371.0  
   2.240; 378.1  
   2.260; 384.8  
   2.280; 392.0  
   2.300; 398.7  
   2.320; 405.3  
   2.340; 412.1  
   2.360; 419.6  
   2.380; 426.7  
   2.400; 433.7  
   2.420; 441.0  
   2.440; 448.7  
   2.460; 455.7  
   2.480; 462.7  
   2.500; 469.9  
   2.520; 477.2  
   2.540; 485.0  
   2.560; 492.4  
   2.580; 499.7  
   2.600; 507.2  
   2.620; 515.1  
   2.640; 522.3  
   2.660; 530.3  
   2.680; 537.6  
   2.700; 544.9  
   2.720; 552.7  
   2.740; 560.4  
   2.760; 568.2  
   2.780; 576.6  
   2.800; 584.4  
   2.820; 592.3  
   2.840; 600.6  
   2.860; 608.2  
   2.880; 616.1  
   2.900; 624.1  
   2.920; 632.3  
   2.940; 641.2  
   2.960; 649.3  
   2.980; 657.9  
   3.000; 665.6  
   3.020; 673.9  
   3.040; 682.0  
   3.060; 690.9  
   3.080; 699.0  
   3.100; 706.9  
   3.120; 715.0  
   3.140; 723.7  
   3.160; 731.8  
   3.180; 740.5  
   3.200; 748.6  
   3.220; 756.6  
   3.240; 764.7  
   3.260; 772.8  
   3.280; 781.2  
   3.300; 789.3  
   3.320; 797.4  
   3.340; 805.3  
   3.360; 813.6  
   3.380; 821.8  
   3.400; 830.1  
   3.420; 838.6  
   3.440; 847.8  
   3.460; 856.2  
   3.480; 864.5  
   3.500; 872.9  
   3.520; 881.7  
   3.540; 890.3  
   3.560; 898.7  
   3.580; 907.2  
   3.600; 916.3  
   3.620; 924.5  
   3.640; 932.9  
   3.660; 942.1  
   3.680; 950.0  
   3.700; 958.7  
   3.720; 967.8  
   3.740; 976.0  
   3.760; 984.6  
   3.780; 993.1  
   3.800;1002
   3.820;1010
   3.840;1019
   3.860;1028
   3.880;1036
   3.900;1044
   3.920;1052
   3.940;1061
   3.960;1069
   3.980;1078
   4.000;1087
   4.020;1095
   4.040;1103
   4.060;1111
   4.080;1120
   4.100;1128
   4.120;1136
   4.140;1145
   4.160;1153
   4.180;1162
   4.200;1170
   4.220;1178
   4.240;1187
   4.260;1195
   4.280;1204
   4.300;1211
   4.320;1219
   4.340;1227
   4.360;1234
   4.380;1243
   4.400;1250
   4.420;1247
