deplacement (mm);charge (N)
;
0;  0.3056
 0.02000;   1.987
 0.04000;   3.515
 0.06000;   5.043
 0.08000;   6.571
  0.1000;   8.252
  0.1200;   9.627
  0.1400;  11.00 
  0.1600;  12.22 
  0.1800;  13.29 
  0.2000;  14.36 
  0.2200;  15.74 
  0.2400;  17.11 
  0.2600;  18.49 
  0.2800;  19.71 
  0.3000;  21.09 
  0.3200;  22.31 
  0.3400;  24.14 
  0.3600;  25.52 
  0.3800;  27.20 
  0.4000;  28.73 
  0.4200;  30.26 
  0.4400;  31.48 
  0.4600;  32.70 
  0.4800;  34.08 
  0.5000;  35.45 
  0.5200;  36.83 
  0.5400;  38.36 
  0.5600;  39.43 
  0.5800;  40.80 
  0.6000;  42.18 
  0.6200;  43.70 
  0.6400;  44.77 
  0.6600;  46.00 
  0.6800;  47.37 
  0.7000;  48.75 
  0.7200;  50.12 
  0.7400;  51.34 
  0.7600;  52.87 
  0.7800;  54.40 
  0.8000;  56.08 
  0.8200;  57.46 
  0.8400;  58.99 
  0.8600;  60.67 
  0.8800;  62.35 
  0.9000;  63.88 
  0.9200;  65.71 
  0.9400;  67.54 
  0.9600;  69.38 
  0.9800;  71.21 
   1.000;  72.89 
   1.020;  74.72 
   1.040;  76.56 
   1.060;  78.55 
   1.080;  80.53 
   1.100;  82.67 
   1.120;  84.66 
   1.140;  86.64 
   1.160;  88.94 
   1.180;  91.08 
   1.200;  93.06 
   1.220;  94.90 
   1.240;  97.04 
   1.260;  99.33 
   1.280; 101.8  
   1.300; 103.9  
   1.320; 106.4  
   1.340; 108.3  
   1.360; 110.9  
   1.380; 113.2  
   1.400; 115.5  
   1.420; 118.0  
   1.440; 120.4  
   1.460; 123.0  
   1.480; 125.9  
   1.500; 128.4  
   1.520; 131.3  
   1.540; 134.0  
   1.560; 137.1  
   1.580; 140.1  
   1.600; 143.0  
   1.620; 146.1  
   1.640; 148.5  
   1.660; 151.4  
   1.680; 154.2  
   1.700; 157.1  
   1.720; 159.7  
   1.740; 162.6  
   1.760; 165.8  
   1.780; 168.9  
   1.800; 171.8  
   1.820; 174.8  
   1.840; 178.2  
   1.860; 181.5  
   1.880; 184.7  
   1.900; 188.0  
   1.920; 191.5  
   1.940; 195.0  
   1.960; 199.1  
   1.980; 202.8  
   2.000; 206.4  
   2.020; 210.3  
   2.040; 214.2  
   2.060; 218.1  
   2.080; 222.3  
   2.100; 226.3  
   2.120; 230.4  
   2.140; 234.6  
   2.160; 239.2  
   2.180; 243.4  
   2.200; 247.6  
   2.220; 252.1  
   2.240; 256.6  
   2.260; 261.3  
   2.280; 266.5  
   2.300; 271.1  
   2.320; 276.0  
   2.340; 281.3  
   2.360; 286.2  
   2.380; 291.1  
   2.400; 296.1  
   2.420; 301.2  
   2.440; 306.4  
   2.460; 311.3  
   2.480; 316.8  
   2.500; 321.4  
   2.520; 326.6  
   2.540; 331.9  
   2.560; 337.3  
   2.580; 342.6  
   2.600; 348.0  
   2.620; 353.1  
   2.640; 359.1  
   2.660; 364.3  
   2.680; 369.7  
   2.700; 375.2  
   2.720; 380.5  
   2.740; 386.6  
   2.760; 392.1  
   2.780; 398.2  
   2.800; 403.4  
   2.820; 409.5  
   2.840; 415.2  
   2.860; 421.3  
   2.880; 427.1  
   2.900; 433.1  
   2.920; 438.9  
   2.940; 445.3  
   2.960; 451.1  
   2.980; 457.1  
   3.000; 462.9  
   3.020; 468.8  
   3.040; 475.2  
   3.060; 481.4  
   3.080; 487.3  
   3.100; 493.6  
   3.120; 500.3  
   3.140; 506.1  
   3.160; 512.1  
   3.180; 518.5  
   3.200; 523.8  
   3.220; 529.8  
   3.240; 536.5  
   3.260; 542.8  
   3.280; 548.7  
   3.300; 555.2  
   3.320; 561.0  
   3.340; 567.2  
   3.360; 573.2  
   3.380; 579.3  
   3.400; 585.7  
   3.420; 592.1  
   3.440; 598.9  
   3.460; 605.1  
   3.480; 611.2  
   3.500; 618.0  
   3.520; 624.2  
   3.540; 630.5  
   3.560; 636.6  
   3.580; 643.0  
   3.600; 649.3  
   3.620; 656.0  
   3.640; 661.8  
   3.660; 668.7  
   3.680; 675.0  
   3.700; 681.2  
   3.720; 687.0  
   3.740; 693.5  
   3.760; 699.6  
   3.780; 705.8  
   3.800; 712.3  
   3.820; 718.4  
   3.840; 724.9  
   3.860; 730.9  
   3.880; 737.3  
   3.900; 743.1  
   3.920; 749.7  
   3.940; 755.8  
   3.960; 761.8  
   3.980; 767.9  
   4.000; 774.0  
   4.020; 780.1  
   4.040; 786.7  
   4.060; 792.2  
   4.080; 798.1  
   4.100; 804.2  
   4.120; 810.5  
   4.140; 816.5  
   4.160; 822.3  
   4.180; 828.1  
   4.200; 834.5  
   4.220; 840.3  
   4.240; 846.0  
   4.260; 851.8  
   4.280; 858.2  
   4.300; 863.8  
   4.320; 869.7  
   4.340; 875.9  
   4.360; 881.1  
   4.380; 886.8  
   4.400; 892.6  
   4.420; 898.5  
   4.440; 904.3  
   4.460; 909.8  
   4.480; 915.8  
   4.500; 921.1  
   4.520; 926.8  
   4.540; 932.6  
   4.560; 937.5  
   4.580; 943.3  
   4.600; 948.8  
   4.620; 954.0  
   4.640; 959.2  
   4.660; 965.0  
   4.680; 970.4  
   4.700; 975.7  
   4.720; 981.5  
   4.740; 986.9  
   4.760; 992.2  
   4.780; 997.6  
   4.800;1003
   4.820;1008
   4.840;1013
   4.860;1019
   4.880;1024
   4.900;1029
   4.920;1035
   4.940;1040
   4.960;1045
   4.980;1050
   5.000;1055
   5.020;1060
   5.040;1065
   5.060;1070
   5.080;1075
   5.100;1081
   5.120;1086
   5.140;1090
   5.160;1096
   5.180;1101
   5.200;1106
   5.220;1110
   5.240;1115
   5.260;1120
   5.280;1125
   5.300;1130
   5.320;1134
   5.340;1138
   5.360;1143
   5.380;1147
   5.400;1152
   5.420;1157
   5.440;1161
   5.460;1165
   5.480;1170
   5.500;1174
   5.520;1178
   5.540;1182
   5.560;1186
   5.580;1190
   5.600;1194
   5.620;1198
   5.640;1202
   5.660;1205
   5.680;1209
   5.700;1212
   5.720;1216
   5.740;1219
   5.760;1223
   5.780;1226
   5.800;1229
   5.820;1233
   5.840;1236
   5.860;1239
   5.880;1242
   5.900;1245
   5.920;1248
   5.940;1251
   5.960;1254
   5.980;1257
   6.000;1260
   6.020;1261
   6.040;1263
   6.060;1266
   6.080;1268
   6.100;1271
   6.120;1273
   6.140;1276
   6.160;1278
   6.180;1280
   6.200;1282
   6.220;1284
   6.240;1287
   6.260;1289
   6.280;1291
   6.300;1293
   6.320;1296
   6.340;1298
   6.360;1300
   6.380;1302
   6.400;1304
   6.420;1306
   6.440;1309
   6.460;1311
   6.480;1312
   6.500;1314
   6.520;1316
   6.540;1317
   6.560;1319
   6.580;1320
   6.600;1320
   6.620;1320
   6.640;1320
   6.660;1318
   6.680;1316
   6.700;1312
