7.40831e-06, 1
0.370423, 50001
0.740838, 100001
1.11125, 150001
1.48167, 200001
1.85208, 250001
2.2225, 300001
2.59292, 350001
2.96333, 400001
3.33375, 450001
3.70416, 500001
4.07458, 550001
4.44499, 600001
4.81541, 650001
5.18582, 700001
5.55624, 750001
5.92665, 800001
6.29707, 850001
6.66749, 900001
7.0379, 950001
---
4.02083e-06, 1
0.201045, 50001
0.402087, 100001
0.603128, 150001
0.80417, 200001
1.00521, 250001
1.20625, 300001
1.40729, 350001
1.60834, 400001
1.80938, 450001
2.01042, 500001
2.21146, 550001
2.4125, 600001
2.61354, 650001
2.81458, 700001
3.01563, 750001
3.21667, 800001
3.41771, 850001
3.61875, 900001
3.81979, 950001
---
2.99543e-06, 1
0.149774, 50001
0.299546, 100001
0.449317, 150001
0.599089, 200001
0.74886, 250001
0.898632, 300001
1.0484, 350001
1.19817, 400001
1.34795, 450001
1.49772, 500001
1.64749, 550001
1.79726, 600001
1.94703, 650001
2.0968, 700001
2.24658, 750001
2.39635, 800001
2.54612, 850001
2.69589, 900001
2.84566, 950001
---
0.0299556, 10000
---
0.0299525, 10000
---
2.99544e-06, 1
0.149775, 50001
0.299547, 100001
0.44932, 150001
0.599092, 200001
0.748864, 250001
0.898636, 300001
1.04841, 350001
1.19818, 400001
1.34795, 450001
1.49773, 500001
1.6475, 550001
1.79727, 600001
1.94704, 650001
2.09681, 700001
2.24659, 750001
2.39636, 800001
2.54613, 850001
2.6959, 900001
2.84567, 950001
---
